id,scale,segment,start,end,n,oracle_profitable,oracle_cash,detected,first_trade,days_missed,traded_days,cash_before_first,all_remaining_cash,actual_mask_cash,actual_mask_mean
DD2,0.2,15,2023-11-15,2024-01-17,44,True,1765.3648109000649,True,2023-11-28,8,29,857.4464756500059,907.9183352500589,-990.9954528999518,-0.23690844127990382
DD2,0.2,17,2024-03-11,2024-04-23,29,False,-1322.0269225999368,True,2024-04-08,17,11,444.01913865003485,-1766.0460612499714,-2082.1720655499685,-0.8775290602225385
DD2,0.2,19,2024-07-09,2024-09-06,43,True,1241.6788731501324,True,2024-07-18,6,33,1616.775727150018,-375.09685399988535,-1228.110034099897,-0.21997239800839438
DD2,0.2,23,2025-10-29,2025-11-24,18,True,8776.806305427173,True,2025-11-12,9,9,3469.2482177820784,5307.558087645094,5307.558087645094,0.962162413445678
DD2,0.2,27,2026-06-03,2026-07-30,40,True,9063.723145257278,True,2026-06-09,3,32,3995.5078603800357,5068.215284877242,169.58844971119288,0.022481583240093028
DD3,0.08,1,2018-06-13,2018-07-11,19,True,2602.6259725500513,False,,19,0,2602.6259725500513,0.0,0.0,
DD3,0.08,3,2018-07-24,2018-10-18,56,True,2152.560186950079,True,2018-10-09,48,8,843.5579140000714,1309.002272950007,1309.002272950007,1.3164301874416184
DD3,0.08,5,2018-11-19,2018-11-29,8,True,1183.883747300011,True,2018-11-26,4,4,838.7977849000101,345.0859624000008,345.0859624000008,0.7231167928862879
DD3,0.08,7,2019-03-07,2019-03-26,13,True,1686.7071411000184,True,2019-03-15,5,8,1549.0750738000036,137.6320673000149,137.6320673000149,0.11981746073907557
DD3,0.08,9,2019-04-18,2019-06-18,39,True,2165.3739932500616,True,2019-04-23,2,30,1187.445931400003,977.928061850059,563.7352934500416,0.02900074115902029
DD3,0.08,11,2019-07-03,2019-07-22,13,True,444.62125455001706,False,,13,0,444.62125455001706,0.0,0.0,
DD3,0.08,13,2019-07-31,2019-08-07,5,True,281.06738230001133,True,2019-08-07,4,1,175.99739160000902,105.06999070000232,105.06999070000232,0.8487075177706165
DD3,0.08,15,2019-09-24,2019-10-09,6,True,1178.7874521000135,False,,6,0,1178.7874521000135,0.0,0.0,
DD3,0.08,17,2019-12-16,2019-12-27,9,True,687.9746505500234,False,,9,0,687.9746505500234,0.0,0.0,
DD3,0.08,21,2020-02-24,2020-03-23,20,True,3691.0958327500257,True,2020-03-05,7,13,1661.9534499500076,2029.1423828000175,2029.1423828000175,1.0895876657290837
