id,direction,window,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,episodes,delete5_pct,delete5_cash,double_slip_pct,double_slip_cash,matched_n,excluded_n,matched_open_pct,matched_open_cash,delayed_pct,delayed_cash,month_ci_low,month_ci_high
DD2_I10,rt,full_2020,534,-0.5115903962066309,-0.42040876456499743,40.63670411985019,-62032.304446015696,0.5433729770236585,0.579004571605484,-12.229427049039757,-70201.41415983287,57,104,-0.5836383169396213,-81290.19336047574,-0.6116847943858679,-73627.87704603269,533,1,-0.5106721266968721,-61890.759080465694,-0.46895162813530666,-62640.127196971705,-0.7206897372981608,-0.32287316766534063
DD2_I10,rt,primary,194,-0.6777432606970257,-0.5294106779467485,41.75257731958763,-43721.2886551162,0.5184506418630578,0.5764492703447472,-12.229427049039757,-51401.81101998338,21,36,-0.8651059847655376,-62979.17756957623,-0.7779606351722479,-50807.356864233196,194,0,-0.6777432606970257,-43721.2886551162,-0.6181622739729525,-44819.59871337221,-1.0869015600787448,-0.3655690282605762
DD2_I10,rt,2020,94,-0.3254007540112547,-0.3134690520511183,45.744680851063826,-4144.062577499847,0.6732971792552832,0.690138836571715,-5.559304685674537,-5610.156979749884,10,18,-0.6111064266362275,-7655.6433110498565,-0.42537711406774215,-5482.493154999847,94,0,-0.3254007540112547,-4144.062577499847,-0.2752977522399943,-3445.1192239998563,-1.121726219199506,0.21454990669673282
DD2_I10,rt,2021,90,-0.36594918640044427,-0.440459443390427,40.0,-3855.8557734998676,0.5125644272188111,0.5326279020178997,-5.552225427361832,-4593.116702949876,10,13,-0.5472850351509887,-5588.430073049871,-0.46594063241495354,-4972.507346999868,90,0,-0.36594918640044427,-3855.8557734998676,-0.33522587618476823,-3496.3991916998575,-0.7210410993917088,-0.16248035107577857
DD2_I10,rt,2022,79,-0.2864955523168581,-0.418689978873226,34.177215189873415,-2060.8937835999145,0.622525623613371,0.6351842838410697,-4.524291825285871,-2559.031437799969,10,22,-0.5607491425793498,-3823.6798031499206,-0.38643585764049293,-2828.399767199916,79,0,-0.2864955523168581,-2060.8937835999145,-0.2467167509084501,-1801.286252299914,-0.6142425809284487,0.0047064270088325415
DD2_I10,rt,2023,77,-0.7214393858829637,-0.3509816319628415,38.961038961038966,-8250.20365629986,0.4662840211304387,0.5103146646920853,-9.975888697771572,-8250.203656299862,8,16,-1.020599764005312,-11599.626189099876,-0.8216464751340891,-9537.119912599861,76,1,-0.7177605877378971,-8108.658290749865,-0.7169578389001247,-9077.723815599864,-1.0897395637646703,-0.46830865024711604
DD2_I10,rt,2024,77,-0.8913109041945395,-0.3210299224756824,44.15584415584416,-14603.938974549794,0.3906481989176627,0.3792504701975179,-9.098307319576708,-15581.446027849799,8,17,-1.1497447240235643,-17841.555439349817,-0.991630240838082,-16200.376249099805,77,0,-0.8913109041945395,-14603.938974549794,-0.7249711830154216,-11936.634993699821,-1.4432204108613909,-0.5582787135364569
DD2_I10,rt,2025,53,-0.6970286807226439,-0.505664900505041,37.735849056603776,-14231.7697380618,0.5000658763008204,0.4899487220416453,-12.229427049039757,-17132.4509528609,7,10,-1.2504109013581945,-24968.872399523836,-0.7972543548868212,-15959.464780123822,53,0,-0.6970286807226439,-14231.7697380618,-0.7306374640307567,-17917.47538335178,-1.965017428380302,-0.17767821216817586
DD2_I10,rt,2026,64,-0.40482395115536435,-0.7918013936356094,42.1875,-14885.579942504608,0.700531475303537,0.7126152858067563,-8.628950102799992,-22191.936720182803,6,9,-0.8887503587114378,-31378.643417312673,-0.5049117792169104,-18647.515835009573,64,0,-0.40482395115536435,-14885.579942504608,-0.39651428851461246,-14965.488336320615,-1.2299732223963977,0.10229325966710179
DD3_I10,rt,full_available,434,-0.4379221130531167,-0.4166768507908619,41.705069124423964,-26760.92326081,0.5989640742933092,0.7290853114269881,-12.229427049039757,-37582.89290163213,45,78,-0.53224382119932,-46018.81217527004,-0.537976545018021,-35492.216111621,378,56,-0.4595977715987287,-24940.60185681007,-0.396421762773695,-23382.70548866314,-0.642060863274428,-0.24609751891107964
DD3_I10,rt,full_2020,379,-0.4610263475177506,-0.4293000007575691,41.16094986807388,-25082.147222360065,0.5821744400544111,0.7264225402213743,-12.229427049039757,-36634.450069182225,38,65,-0.5622577106843483,-44340.0361368201,-0.5610960135044469,-33101.43133472107,378,1,-0.4595977715987287,-24940.60185681007,-0.396421762773695,-23382.70548866314,-0.704189216248177,-0.25715061938018086
DD3_I10,rt,primary,149,-0.4337079743225939,-0.2509611457199233,44.966442953020135,-10128.018825710395,0.6491555264226959,0.8314299011438072,-12.229427049039757,-20419.819618232523,14,22,-0.6711481022189589,-29385.90774017044,-0.5338026564788567,-15164.728841421405,149,0,-0.4337079743225939,-10128.018825710395,-0.3556587963297831,-10247.50654596346,-0.8418812320997863,-0.1299774568404392
DD3_I10,rt,2020,73,-0.283729320160839,-0.2756963126843486,45.20547945205479,-2654.878969249887,0.7106201782627114,0.7350788408954921,-5.559304685674537,-4694.214448199918,6,12,-0.6546035509604053,-6166.459702799895,-0.3836845270396535,-3681.7502384998847,73,0,-0.283729320160839,-2654.878969249887,-0.2158006560781706,-1915.995995549892,-1.103679674560478,0.2647322074396814
DD3_I10,rt,2021,68,-0.36663415779231945,-0.503530468409157,36.76470588235294,-2956.153777799897,0.5288562603334671,0.5462422961355268,-5.552225427361832,-3510.7368809499,7,10,-0.6113479990741553,-4688.728077349901,-0.4666262152146619,-3805.6589555998944,68,0,-0.36663415779231945,-2956.153777799897,-0.33673566268508776,-2666.591531349893,-0.8120528305901824,-0.1359630555656049
DD3_I10,rt,2022,53,-0.3059393580023044,-0.5961894103448004,32.075471698113205,-1550.6583448999418,0.6209172419547985,0.6213771933412969,-3.622442537927325,-1806.9224397999712,6,13,-0.7236296830015503,-3295.3122993499464,-0.4058894097137755,-2065.7006897999495,53,0,-0.3059393580023044,-1550.6583448999418,-0.32121538687772166,-1630.5375852999457,-0.7297987589029171,-0.02417457224487804
