id,window,losing,n,losing_mean_pct,losing_cash,opposite,opposite_mean_pct,opposite_cash,large
DD3,full_2020,rt,462,-0.461687035598026,-35146.402273556865,pt,-0.025462923047039905,-7974.458508440898,False
DD3,full_2020,pt,462,-0.025462923047039905,-7974.458508440898,rt,-0.461687035598026,-35146.402273556865,False
DD3,primary,rt,188,-0.4901436848726565,-18942.66294145726,pt,0.10076860843509113,-4606.2464780412965,False
DD3,2020,rt,84,-0.2793650606031144,-3281.471480099874,pt,-0.265686781766156,-3241.491469899867,False
DD3,2020,pt,84,-0.265686781766156,-3241.491469899867,rt,-0.2793650606031144,-3281.471480099874,False
DD3,2021,rt,78,-0.3519794635500939,-3276.0142575498894,pt,-0.21169221501543328,-2256.5239974498886,False
DD3,2021,pt,78,-0.21169221501543328,-2256.5239974498886,rt,-0.3519794635500939,-3276.0142575498894,False
DD3,2022,rt,67,-0.32249552701991807,-2032.5389402499238,pt,-0.289327552811049,-1932.5889147499438,False
DD3,2022,pt,67,-0.289327552811049,-1932.5889147499438,rt,-0.32249552701991807,-2032.5389402499238,False
DD3,2023,rt,45,-1.0805363140516695,-7613.714654199922,pt,0.6112502143193693,4062.392351700097,True
DD3,2024,rt,85,-0.7158319403401615,-11610.390775599786,pt,0.3094368544278546,4625.5513356001775,True
DD3,2025,rt,50,-0.4364817853733643,-3732.910604536784,pt,0.04289928928216005,-2093.3205524627983,False
DD3,2026,rt,53,-0.17881525582032998,-3599.3615613206857,pt,-0.17929431518261346,-7138.477261178672,False
DD3,2026,pt,53,-0.17929431518261346,-7138.477261178672,rt,-0.17881525582032998,-3599.3615613206857,False
BR10,full_available,rt,646,-0.4842716360520566,-61752.08463182149,pt,-0.01692755296245641,1567.8669998245277,False
BR10,full_available,pt,646,-0.01692755296245641,1567.8669998245277,rt,-0.4842716360520566,-61752.08463182149,False
BR10,full_2020,rt,560,-0.4708057684520539,-55286.01988502159,pt,-0.02122430131561061,1317.2900330244192,False
BR10,full_2020,pt,560,-0.02122430131561061,1317.2900330244192,rt,-0.4708057684520539,-55286.01988502159,False
BR10,primary,rt,209,-0.56347857507824,-35648.918083672106,pt,0.17898449790323423,6420.568671673889,True
BR10,2020,rt,95,-0.28436905071452073,-3396.9581836498414,pt,-0.2614801415890578,-3936.6883213498463,False
BR10,2020,pt,95,-0.2614801415890578,-3936.6883213498463,rt,-0.28436905071452073,-3396.9581836498414,False
BR10,2021,rt,87,-0.3827853211686406,-3905.604709199883,pt,-0.18234311742975529,-2226.44428079989,False
BR10,2021,pt,87,-0.18234311742975529,-2226.44428079989,rt,-0.3827853211686406,-3905.604709199883,False
BR10,2022,rt,99,-0.23302842968288473,-1977.1278151498866,pt,-0.377048969485076,-3916.1583098498936,False
BR10,2022,pt,99,-0.377048969485076,-3916.1583098498936,rt,-0.23302842968288473,-1977.1278151498866,False
BR10,2023,rt,70,-0.8928144406234463,-10357.411093349881,pt,0.4105563406836264,4976.012273350154,True
BR10,2024,rt,79,-0.8126627716627352,-13255.711602199803,pt,0.4088882566660837,6619.320982200174,True
BR10,2025,rt,65,-0.3985422920192928,-6143.6802831387095,pt,0.011538380380912277,-2784.5198368607184,False
BR10,2026,rt,65,-0.4255602192114162,-16249.526198333591,pt,0.067009124006093,2585.7675263344377,False
BR20,full_available,rt,436,-0.44319111789261406,-33590.71522405209,pt,-0.057728334488200916,-4357.901226946018,False
BR20,full_available,pt,436,-0.057728334488200916,-4357.901226946018,rt,-0.44319111789261406,-33590.71522405209,False
BR20,full_2020,rt,383,-0.44255166829437054,-30887.139620002145,pt,-0.049865263296315625,-3273.5160359960946,False
BR20,full_2020,pt,383,-0.049865263296315625,-3273.5160359960946,rt,-0.44255166829437054,-30887.139620002145,False
BR20,primary,rt,146,-0.5698976231494969,-20235.36503825248,pt,0.1790730552790404,2678.908197253562,True
BR20,2020,rt,66,-0.18862880141325314,-1388.9823392498981,pt,-0.35784508230108214,-3687.8329257498817,False
BR20,2020,pt,66,-0.35784508230108214,-3687.8329257498817,rt,-0.18862880141325314,-1388.9823392498981,False
BR20,2021,rt,63,-0.4204014930818951,-3062.919234399916,pt,-0.1484669207429777,-1303.7987855999258,False
BR20,2021,pt,63,-0.1484669207429777,-1303.7987855999258,rt,-0.4204014930818951,-3062.919234399916,False
BR20,2022,rt,61,-0.12497231919222394,-618.6125840499323,pt,-0.48627225519885586,-2997.423190949946,False
BR20,2022,pt,61,-0.48627225519885586,-2997.423190949946,rt,-0.12497231919222394,-618.6125840499323,False
BR20,2023,rt,47,-0.8454070116756932,-5581.260424049924,pt,0.3700156828208606,2036.6306690500996,True
BR20,2024,rt,68,-0.8454719786605273,-11659.944709249843,pt,0.43935294188988344,6035.632591750143,True
BR20,2025,rt,36,-0.36550314654600874,-2021.912350157891,pt,-0.03434862113949115,-1502.042344841866,False
BR20,2025,pt,36,-0.03434862113949115,-1502.042344841866,rt,-0.36550314654600874,-2021.912350157891,False
BR20,2026,rt,42,-0.2989248846489139,-6553.507978844742,pt,-0.059399609922630665,-1854.6820496547157,False
BR20,2026,pt,42,-0.059399609922630665,-1854.6820496547157,rt,-0.2989248846489139,-6553.507978844742,False
D_I10,full_available,rt,378,-0.3584803914461085,-17086.16277235116,pt,-0.1488319972467185,-14787.227870147191,False
D_I10,full_available,pt,378,-0.1488319972467185,-14787.227870147191,rt,-0.3584803914461085,-17086.16277235116,False
D_I10,full_2020,rt,335,-0.3247940839895256,-13942.983484101213,pt,-0.1746553015846897,-14942.399423397248,False
D_I10,full_2020,pt,335,-0.1746553015846897,-14942.399423397248,rt,-0.3247940839895256,-13942.983484101213,False
D_I10,primary,rt,111,-0.31048868625365755,-4958.732414601556,pt,-0.08175854431634824,-8757.783550397566,False
D_I10,primary,pt,111,-0.08175854431634824,-8757.783550397566,rt,-0.31048868625365755,-4958.732414601556,False
D_I10,2020,rt,49,-0.21863175968238718,-1281.559122149917,pt,-0.33093076487669704,-2420.9894128499113,False
D_I10,2020,pt,49,-0.33093076487669704,-2420.9894128499113,rt,-0.21863175968238718,-1281.559122149917,False
D_I10,2021,rt,57,-0.4404125231377836,-2956.8967549999093,pt,-0.13047417066125017,-957.8962449999274,False
D_I10,2021,pt,57,-0.13047417066125017,-957.8962449999274,rt,-0.4404125231377836,-2956.8967549999093,False
D_I10,2022,rt,75,-0.17988357324810175,-1180.7243098499157,pt,-0.43317054128316984,-3239.6948351499404,False
D_I10,2022,pt,75,-0.43317054128316984,-3239.6948351499404,rt,-0.17988357324810175,-1180.7243098499157,False
D_I10,2023,rt,43,-0.5821868819869027,-3565.0708824999124,pt,0.1559557718867617,433.96462000009694,True
D_I10,2024,rt,42,-0.5420694276068904,-4004.9876819999004,pt,0.1249465960480508,793.8129420000814,True
D_I10,2025,rt,29,-0.3570608595355765,-1384.270262754916,pt,-0.046604564485170905,-1204.31528674492,False
D_I10,2025,pt,29,-0.046604564485170905,-1204.31528674492,rt,-0.3570608595355765,-1384.270262754916,False
D_I10,2026,rt,40,-0.03356408220337177,430.52553015325975,pt,-0.3242855770765708,-8347.281205652725,False
D_I10,2026,pt,40,-0.3242855770765708,-8347.281205652725,rt,-0.03356408220337177,430.52553015325975,False
DD2_I10,full_available,rt,605,-0.500041379127077,-65768.9832118656,pt,0.0013220840268683678,9969.160499868387,True
DD2_I10,full_2020,rt,534,-0.5115903962066309,-62032.304446015696,pt,0.02105875804456527,11367.00866901829,True
