scale,segment,label,start,end,start_confirm,end_confirm,start_i,end_i,efficiency,n,overnight_log_pct,intraday_log_pct,total_log_pct,linked_overnight_pct,linked_intraday_pct,linked_total_pct,raw_overnight_log_pct,action_adjustment_log_pct,gross_rt_cash,rt_cash,rt_mean_pct,pt_cash,pt_mean_pct,cost_cash
0.12,16,U,2023-05-12,2023-06-19,2023-05-18,2023-06-26,1195,1221,0.6060977918091467,26,12.160264714425118,48.95849479224804,61.11875950667319,12.930527993790808,63.16388642957782,84.2618384401115,12.160264714425118,0.0,-10170.000000000004,-11380.433920849955,-2.218490435419079,8949.40126585006,1.6973617684703242,1210.433920849952
0.12,17,D,2023-06-19,2023-07-12,2023-06-26,2023-07-14,1221,1236,0.38978647874850236,15,-12.922579132027504,-3.15606129223814,-16.07864042426566,-12.122447674246855,-3.1067775139927383,-14.85260770975057,-12.922579132027504,0.0,800.0000000000007,-77.27843099996448,-0.09233598128500566,-1676.4788389999603,-0.3946458638907323,877.2784309999646
0.12,18,R,2023-07-12,2023-07-14,2023-07-14,2023-07-20,1236,1238,0.999999999999999,2,5.661966305325839,13.39530087709753,19.057267182423345,5.825324103777702,14.333909147318009,20.994229915667994,5.661966305325839,0.0,-3350.0000000000014,-3470.037971749994,-7.177530873047476,3226.613736750006,6.677222568504865,120.03797174999272
0.12,19,D,2023-07-14,2023-07-27,2023-07-20,2023-08-07,1238,1247,0.6925833979952013,9,-3.7118734079279148,-14.681821332955616,-18.393694740883536,-3.643827905702151,-13.654907298067117,-16.801173881144546,-3.7118734079279148,0.0,3689.9999999999973,3156.9860684500204,1.3398722200712503,-4219.325813449966,-1.8225599784681634,533.0139315499778
0.12,20,U,2023-07-27,2023-08-07,2023-08-07,2023-08-10,1247,1254,0.7956216139308935,7,-5.904763439545806,18.018898502993164,12.114135063447353,-5.733813504044263,19.74436406618748,12.878445549028491,-8.35969591920511,-2.454932479659304,-4170.000000000002,-4558.501590849988,-2.8904395693321314,3777.3305358500193,2.391784790566233,388.5015908499861
0.12,21,D,2023-08-07,2023-10-25,2023-08-10,2023-11-07,1254,1305,0.4316422911153187,51,-31.329031992405877,-29.91369172892447,-61.24272372133029,-26.89623530362449,-25.854211591869653,-45.796637309847895,-31.329031992405877,0.0,6169.999999999991,3990.4253333501124,0.33237555722562956,-8344.937048349868,-0.7662158881819257,2179.5746666498776
0.12,22,U,2023-10-25,2023-11-15,2023-11-07,2023-12-05,1305,1320,0.7593054562996162,15,7.075659607393233,12.148604154393816,19.224263761787054,7.331994378286118,12.917360429501215,21.196454948301323,7.075659607393233,0.0,-1790.000000000001,-2282.6438939499812,-1.046670799644019,1296.4615714500226,0.6076664688100302,492.64389394998005
0.12,23,D,2023-11-15,2024-01-17,2023-12-05,2024-01-22,1320,1364,0.28175413206436084,44,-3.797897366991131,-21.988598242300807,-25.786495609291944,-3.7266816575912296,-19.738969557211377,-22.730042656916496,-3.797897366991131,0.0,3179.999999999995,1765.3648109000649,0.24872742883234353,-4593.046015899926,-0.6896193178637041,1414.6351890999294
0.12,24,U,2024-01-17,2024-03-11,2024-01-22,2024-03-27,1364,1396,0.49744746768604037,32,0.39091912926240147,70.72142451167926,71.11234364094167,0.39168421472079656,102.8332942565648,103.62776025236597,0.39091912926240147,0.0,-13100.0,-14249.686480499942,-2.540315089636409,11943.766925500055,2.110653126167973,1149.6864804999445
0.12,25,D,2024-03-11,2024-04-23,2024-03-27,2024-04-26,1396,1425,0.2843353326896222,29,-23.131709121337604,0.49732268345777064,-22.63438643787984,-20.651218187536763,0.49856138531230904,-20.255615801704106,-23.131709121337604,0.0,-20.000000000003297,-1322.0269225999368,-0.2518759903082219,-1282.0369173999402,-0.13957676771190425,1302.026922599934
0.12,26,U,2024-04-23,2024-05-20,2024-04-26,2024-05-31,1425,1441,0.630983014249952,16,12.616770383098114,11.55492534648753,24.171695729585522,13.447240769955323,12.248979969869787,27.343370568236946,12.616770383098114,0.0,-2620.0000000000014,-3370.4521030999495,-0.9483957680462471,1868.2385781000467,0.5605032891448897,750.4521030999484
0.12,27,D,2024-05-20,2024-05-31,2024-05-31,2024-06-06,1441,1450,0.6269796378160203,9,0.9443046136989267,-14.439202800713863,-13.49489818701496,0.9487772370267907,-13.445163766037215,-12.62395118230358,0.9443046136989267,0.0,3540.0000000000027,3110.6215427000366,1.3891700073853184,-3967.609377699985,-1.7709751734467603,429.3784572999658
0.12,28,U,2024-05-31,2024-07-09,2024-06-06,2024-07-18,1450,1476,0.35173974738104685,26,-1.961364940688891,25.5335982927959,23.572233352107013,-1.9422553189473533,29.089526679142292,26.58227848101269,-1.961364940688891,0.0,-6849.999999999989,-8157.440204249903,-1.2130498960041498,5539.136576750068,0.8315733238484833,1307.4402042499155
0.12,29,D,2024-07-09,2024-09-06,2024-07-18,2024-09-24,1476,1519,0.4455171484224105,43,-30.775843349686,-12.186009240764326,-42.96185259045026,-26.490712962296687,-11.472778385684663,-34.92427055702917,-33.52613523864868,-2.750291888962674,3130.000000000002,1241.6788731501324,0.059523854992508,-5016.756940649893,-0.4540076259230923,1888.3211268498708
0.12,30,U,2024-09-06,2024-10-08,2024-09-24,2024-10-16,1519,1534,0.8496112660833527,15,21.926701691666658,19.235195676587633,41.16189736825431,24.51637120777637,21.20970476571377,50.925925925925995,21.926701691666658,0.0,-4090.000000000007,-4704.971375449972,-1.5308877872931368,3472.984687950029,1.1250990408628276,614.9713754499638
0.12,31,D,2024-10-08,2024-10-16,2024-10-16,2024-11-11,1534,1540,0.7810770395530777,6,-3.8103486542447684,-12.541366959316791,-16.351715613561584,-3.7386681787530747,-11.7868084052927,-15.084806928906524,-3.8103486542447684,0.0,3279.999999999994,2989.211856400008,1.8423387127114565,-3569.1489963999743,-2.2218601830451794,290.7881435999864
0.12,32,U,2024-10-16,2024-11-11,2024-11-11,2024-11-18,1540,1558,0.33182674863683287,18,-3.714856125809518,17.507952632334817,13.793096506525327,-3.646701895615517,19.13409558112479,14.78963025924354,-3.714856125809518,0.0,-4410.000000000007,-5273.750614549952,-1.2130547665290066,3544.0455320500596,0.8271780082463072,863.7506145499442
0.12,33,D,2024-11-11,2025-01-13,2024-11-18,2025-01-22,1558,1602,0.33680201641311247,44,-6.448791752530628,-25.008590110472856,-31.457381863003487,-6.24525579131413,-22.126611390292126,-26.990003702332473,-6.448791752530628,0.0,5880.000000000013,3943.7350594001255,0.3384217836277298,-7813.326469399896,-0.7311313114058968,1936.264940599887
0.12,34,U,2025-01-13,2025-01-24,2025-01-22,2025-02-05,1602,1611,0.6573015097880739,9,3.944046441602055,12.95231705243965,16.89636349404169,4.022856642620941,13.828548582884926,18.4077079107505,3.944046441602055,0.0,-2779.9999999999973,-3161.826841399977,-1.7070141410214825,2396.783881400015,1.3062935548172687,381.82684139998014
0.12,35,R,2025-01-24,2025-02-05,2025-02-05,2025-02-17,1611,1613,0.9999999999999989,2,-7.723912295328061,-7.7625587607634685,-15.486471056091533,-7.433152144072917,-7.4689190471671205,-14.346895074946467,-7.723912295328061,0.0,1660.0,1575.3301858000118,3.6043635533466762,-1743.8402457999878,-3.9955211778861215,84.6698141999882
0.12,36,U,2025-02-05,2025-02-19,2025-02-17,2025-03-26,1613,1623,0.7424637150713748,10,4.010149999634537,11.004115843337365,15.014265842971922,4.091642184369239,11.632401566097052,16.19999999999997,4.010149999634537,0.0,-2399.999999999995,-2832.499116999953,-1.3179061608213327,1966.3015070000324,0.9203873607612152,432.49911699995795
