id,scope,source_direction,opposite_direction,n,source_mean_pct,source_cash,opposite_mean_pct,opposite_cash,large_loss,status,start,end
D__pair_volume_ge15_clv_lt04,primary_bounded_scan,rt,pt,7,-1.3723004964781609,-1817.4746148399777,0.961092549749541,1161.7808673400277,True,research_candidate_only,2024-01-03,2026-01-30
D__pair_r5negative_volume_lt08,primary_bounded_scan,rt,pt,52,-0.718062759661355,-12486.693758876812,0.31813855953914544,6748.499826877192,True,research_candidate_only,2024-01-08,2026-08-04
C__volume_lt08,primary_bounded_scan,rt,pt,20,-0.08557275870043553,-1577.4238948288923,-0.30401218546735187,-1037.5586526708992,False,research_candidate_only,2024-12-31,2026-09-11
C__volume_08_12,primary_bounded_scan,rt,pt,51,-0.5621195330997656,-10974.05794690771,0.18969152547497167,1922.719209408257,True,research_candidate_only,2024-01-02,2026-09-09
C__volume_12_15,primary_bounded_scan,rt,pt,19,-0.820677986396159,-4271.53046368792,0.42403241910180023,1866.9355971880555,True,research_candidate_only,2024-01-25,2026-04-21
C__r3_le0,primary_bounded_scan,rt,pt,30,-0.22282268855099016,-5402.7186694588445,-0.15756656946838773,715.7527584591737,False,research_candidate_only,2024-01-29,2026-09-11
C__r3_0_3,primary_bounded_scan,rt,pt,24,-1.051811907241016,-7805.808423414846,0.667579161238356,4271.173546415128,True,research_candidate_only,2024-01-25,2026-09-10
C__r3_gt6,primary_bounded_scan,rt,pt,40,-0.23168549912206218,579.133398762222,-0.15542884057357487,-6379.128055761817,False,research_candidate_only,2024-01-02,2026-09-08
C__clv_lt04,primary_bounded_scan,rt,pt,43,-1.0995118712383245,-15506.558335738806,0.7134493539669714,9387.220926239172,True,research_candidate_only,2024-01-23,2026-09-11
C__upper_ge03,primary_bounded_scan,rt,pt,42,-0.6930313567844409,-5750.804746247772,0.3061461023510509,-392.1442877517861,True,research_candidate_only,2024-01-02,2026-09-10
C__bias20_m5_0,primary_bounded_scan,rt,pt,5,-2.0713487555649572,-6206.154214481983,1.7098526945908656,5111.018023482032,True,research_candidate_only,2025-12-23,2026-09-02
C__bias20_0_5,primary_bounded_scan,rt,pt,60,-0.2621737165057942,-2461.2824740496135,-0.1227807034650336,-6120.36849144976,False,research_candidate_only,2024-01-02,2026-09-11
C__bias20_gt5,primary_bounded_scan,rt,pt,55,-0.13649870791177118,-3152.9619180217774,-0.2504962073283231,-4652.586793477725,False,research_candidate_only,2024-01-23,2026-08-19
C__r5_positive_decelerate,primary_bounded_scan,rt,pt,48,-0.6152855878703408,-11284.78958019078,0.23144528897789005,3791.4430341911943,True,research_candidate_only,2024-01-02,2026-09-11
C__pair_volume_ge15_clv_lt04,primary_bounded_scan,rt,pt,6,-0.3413847750653587,-149.1730719999847,-0.0627933139428843,-349.1230979999792,False,research_candidate_only,2024-01-23,2025-05-15
C__pair_volume_ge15_upper_ge03,primary_bounded_scan,rt,pt,8,-1.6856148632517425,-2267.1735008569767,1.2676511544475502,1511.8819783570368,True,research_candidate_only,2024-01-22,2026-08-07
