mode,latency,slip,window,delta_mean,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
1000_S2,next_bar_close,0.0005,all,-0.11761014178964532,61,0.9968404544097097,0.34477078784974613,57.377049180327866,11894.634162391209,2.443303666815829,1.758736972355585,-3.0290959646803217,-2.9450524924357677,-4043.0174914619274,3,14,4,16,1725.7108376090002,1.208853426680933,0.8509481310676497,0.35629137090267965,-0.11733630320158117,-1315.3993342938284,17,26,1.3450574780920577,0.6758483887198626
1000_S2,next_bar_close,0.0005,recent2024,-0.15809341298456703,37,0.7227309224942807,0.02844450636948517,51.35135135135135,6654.36855929117,1.8120578441509096,1.4664680675104096,-3.0290959646803217,-3.024816859731037,-4043.0174914619274,3,9,3,12,1218.4464407090002,0.9166489898694836,0.47196289659319607,-0.20626575861848923,-0.8936921909546038,-6555.664937393869,14,15,1.289281099576604,0.29316469549523255
1000_S2,next_bar_close,0.001,all,-0.2185386653970325,61,0.8959119308023227,0.2444761389361059,54.09836065573771,10101.46590278219,2.21860764601177,1.6106927159539899,-3.126018849240598,-3.0420592252994556,-4592.310738923951,3,14,4,16,1725.2240972179998,1.208853426680933,0.7501657008827877,0.2560045848265622,-0.21714784139065804,-2851.064580587843,19,25,1.2437825261470172,0.5752441261878188
1000_S2,next_bar_close,0.001,recent2024,-0.2587364860026819,37,0.622087849476166,-0.07153401821480727,48.64864864864865,5233.540296582154,1.6620503899216967,1.3491355694406042,-3.126018849240598,-3.1217438246052436,-4592.31073892395,3,9,3,12,1218.0897034179998,0.9166489898694836,0.3715712417956586,-0.3059757765568896,-0.9927089207301422,-7718.990186787882,14,15,1.1880763786221693,0.1929618087211413
1000_S2,next_bar_close,0.002,all,-0.4200935962316035,61,0.6943569999677517,0.044187021893386746,50.81967213114754,6515.129383564006,1.8357373379967195,1.3553937966064968,-3.31957450080599,-3.235782296887372,-5833.610802900002,5,14,4,16,1724.2506164360002,1.208853426680933,0.5489025200794505,0.055731208844666376,-0.41647214515371384,-5989.846167679995,22,21,1.041535773286677,0.3743367451239681
1000_S2,next_bar_close,0.002,recent2024,-0.45972134782102214,37,0.42110298765782556,-0.27119179793360554,48.64864864864865,2391.8837711640103,1.4047889118305144,1.1453880317879597,-3.31957450080599,-3.3153075892210264,-5833.610802900002,3,9,3,12,1217.376228836,0.9166489898694836,0.1710884652798256,-0.505097322946286,-1.1904459620535561,-10045.640685575989,15,12,0.985969901542519,-0.007144001046670074
1000_S2_WORSTBAR,original,0.0005,all,1.4560301962297136e-17,61,1.0413165164053346,0.3800977456945471,54.09836065573771,12444.093901088196,2.498298220195783,1.7861571177776048,-3.335336669416381,-3.1124494113592664,-4617.085730894948,3,14,4,16,1725.976098912,1.2534062659442202,0.8971086354979053,0.4374730752694846,-0.06309285298400462,-884.5645882128374,14,25,1.4031385126913143,0.7755674789231242
1000_S2_WORSTBAR,original,0.0005,recent2024,2.3254671461743144e-17,37,0.764236574293854,0.13249063575250986,51.35135135135135,6964.040651788148,1.83101732863831,1.4774226616626591,-3.335336669416381,-3.2797480532120424,-4617.085730894949,3,9,3,12,1218.6193482120002,0.958230790804413,0.5163194071531378,-0.17278474674874061,-0.898994283728046,-6335.888434616886,12,15,1.3541313268393997,0.3528273079269813
1000_S2_WORSTBAR,original,0.001,all,-0.10097297197826674,61,0.9403435444270678,0.27976778450536377,54.09836065573771,10650.650774176185,2.2704497661124665,1.6381338788408524,-3.431953072853463,-3.2092886950445227,-5045.924255789962,3,14,4,16,1725.4892258240004,1.2534062659442202,0.7962800711157885,0.3371051694909282,-0.16295859918234298,-2466.61215842584,15,25,1.3017861479617387,0.6748423052411414
1000_S2_WORSTBAR,original,0.001,recent2024,-0.10068455257168694,37,0.663552021722167,0.03240812830956364,51.35135135135135,5543.0574755761445,1.6859725616662895,1.3623774102804975,-3.431953072853463,-3.3764202260461316,-5045.924255789963,3,9,3,12,1218.2625244240003,0.958230790804413,0.41588342377511744,-0.27252822299210144,-0.9980057142667198,-7499.323627233884,13,15,1.2528279024852003,0.252524627409592
