gap,mode,event,start,end,sum_net,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
5,1000_S0,11,2024-12-10,2024-12-10,-0.3322621595516016,1,-0.3322621595516016,-0.3322621595516016,0.0,-73.61697265000001,0.0,0.0,-0.3322621595516016,-0.3322621595516016,-73.61697265000001,1,1,1,1,21.49197265,-0.1355013550135564,,,,,0,0,,
5,1000_S0,12,2025-04-09,2025-04-18,9.271741059921208,3,3.0905803533070695,-0.1519119026463352,33.33333333333333,1510.4162356000086,23.207043273491216,21.653722615721296,-0.2656016287920884,-0.2656016287920884,-73.13045999999554,2,1,1,2,57.483764400000005,3.3069718576283567,-0.20875676571921178,,,,0,1,,
5,1000_S0,13,2025-11-25,2025-12-05,0.8748873835285186,8,0.10936092294106482,-0.5581146391307337,50.0,396.0671731020509,1.1008070697334755,1.0747093144643598,-2.930168469135868,-2.930168469135868,-3892.335457544967,2,2,1,1,381.612826898,0.28881723048573565,-0.7689947193738556,-2.4864700064154395,,-4552.236091520979,4,2,3.150175560345435,
5,1000_S0,14,2026-07-03,2026-07-06,0.2683054861155727,2,0.13415274305778635,0.13415274305778635,50.0,159.80794935300264,1.2778814684666808,1.2555698791686691,-0.9655393272392456,-0.9655393272392456,-625.3004065769965,1,1,1,1,101.68705064699998,0.3136534924853607,-0.9655393272392456,,,,0,1,,
5,1000_S0,15,2026-07-20,2026-07-30,5.679675116815344,7,0.8113821595450491,0.7868595444341261,57.14285714285714,3086.3499754410323,1.6991160720571306,1.6361035622745972,-4.552052626129442,-4.552052626129442,-3779.9127165419945,1,1,1,1,328.86502455900006,0.9920969122318927,-0.12134850812440205,-3.857732018103902,,-4620.944255606995,2,3,5.810946675524685,
5,1000_S2,1,2023-05-08,2023-05-24,23.888880600308177,8,2.986110075038522,2.615482744492321,62.5,3565.0798494500123,9.535486544698154,9.513244130256002,-2.049383423114986,-2.049383423114986,-310.12727634999874,2,1,1,1,204.60515055000002,3.26313422274795,2.0278701756367257,-0.9329239942448208,,-418.768661499997,1,5,7.1522290313526655,
5,1000_S2,2,2023-08-14,2023-08-14,2.735426656425199,1,2.735426656425199,2.735426656425199,100.0,585.8166232000025,,,2.735426656425199,2.735426656425199,0.0,0,1,1,1,32.4633768,2.9906542056074903,,,,,0,1,,
5,1000_S2,3,2023-09-20,2023-09-22,-0.26193308192529546,2,-0.13096654096264773,-0.13096654096264773,50.0,-58.28740989999493,0.5985868125174111,0.5523685217641128,-0.6525273461192819,-0.6525273461192819,-130.2129379499968,1,1,1,1,39.937409900000006,0.07323601238498623,-0.6525273461192819,,,,0,0,,
5,1000_S2,4,2023-10-25,2023-11-10,9.02861178063522,13,0.6945085985104016,0.2027849479064676,53.84615384615385,1407.423991650025,2.892962344131835,3.0902933203543728,-2.2159598483456966,-2.2159598483456966,-421.2320492999951,2,2,1,1,230.36100835000002,0.9160579567628988,0.1712880868265778,-0.48833108453418744,-1.302753930534563,-547.3051589499838,1,4,1.7217896520642064,0.27968558653497766
5,1000_S2,5,2024-01-09,2024-01-09,-2.195038342691149,1,-2.195038342691149,-2.195038342691149,0.0,-289.7829687999995,0.0,0.0,-2.195038342691149,-2.195038342691149,-289.7829687999995,1,1,1,1,16.722968799999997,-1.9711902956785377,,,,,1,0,,
