id,window,kind,value,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,excluded,matched_primary
L2_tail_down,old2020_2023,early_entry_DIAGNOSTIC,1450.0,470,-0.2560859624596308,-0.20388603466707234,33.191489361702125,-16480.808828449284,0.47384768931560084,0.5110696031446927,-9.767606351862884,-3.038143325991942,-17660.289489849347,12,48,4,18,10850.068828450001,0.02022035947838542,-0.2731499924056287,-0.3174357094547455,-0.34545951339764297,-21573.160368099285,0.0,-0.3282790634162895
L2_tail_down,old2020_2023,no_dividend,0.0,469,-0.32902384251522937,-0.2929934367456236,27.931769722814497,-21928.37721504932,0.3837394206223515,0.40827265891825865,-10.213887194477932,-3.1861453979845464,-23047.826275649364,13,48,4,18,10817.40721505,-0.052867145819647944,-0.3461248867287806,-0.3894397278759347,-0.4149292417799317,-26602.880749299322,,
L2_tail_down,recent2024,slip,0.0,345,-0.15656897237139278,-0.15399983564549447,39.710144927536234,-18416.514916000022,0.7966937506807706,0.8319778084127684,-10.070416246953814,-4.67049621189132,-23477.821479999988,10,33,3,4,11496.514916,-0.06599045058282471,-0.18581802282011411,-0.2587747599870347,-0.3340076366997669,-36577.046560000046,,
L2_tail_down,recent2024,slip,10.0,345,-0.3560537464985568,-0.3534923434663724,35.07246376811594,-45471.191812650526,0.6016672406989595,0.6394040913053318,-10.250098421866722,-4.860965425328615,-46232.97626256057,12,33,3,4,11489.751812651999,-0.06599045058282471,-0.385244355308187,-0.45805530316729814,-0.5331378282142594,-62936.76453282659,,
L2_tail_down,recent2024,slip,20.0,345,-0.5551404009384198,-0.5525866626489034,31.594202898550726,-72525.86870930404,0.45881904101200366,0.49495956194407825,-10.42942204364355,-5.0510545138095715,-72651.46289912403,12,33,3,4,11482.988709304002,-0.06599045058282471,-0.5842726846621558,-0.6569381341878079,-0.7318706082062458,-89296.48250565605,,
L2_tail_down,recent2024,exit0935close,0.0,344,-0.08073040373133501,-0.15752298687920233,45.93023255813954,-10986.44965981548,0.9100551780978672,0.9151294439469109,-10.160302220729761,-5.239061781692132,-28843.465283792255,10,33,3,4,11481.844659817001,0.10995732735257574,-0.10871458643623837,-0.1939698396479446,-0.2788030827954897,-30457.73723117751,1.0,-0.263215670141101
L2_tail_down,recent2024,exit0935open,0.0,344,-0.08247515429128567,-0.17715783871084403,45.63953488372093,-10836.648487870532,0.9086490377348191,0.9165765780497573,-10.160302220729761,-5.244515882414187,-28184.22103481032,10,33,3,4,11481.968487872002,0.1082095572560443,-0.11057996347016406,-0.19591066326449338,-0.2797533690581941,-30078.19942701157,1.0,-0.263215670141101
L2_tail_down,recent2024,early_entry_DIAGNOSTIC,1450.0,345,-0.2123173545803635,-0.243407836763116,40.869565217391305,-25489.912232437542,0.7380657050613441,0.775744452645883,-9.97131518981486,-4.688518330445234,-26961.621313386717,8,33,3,4,11492.417232439002,-0.021861405309141976,-0.2419166641646665,-0.3180072825161437,-0.3946115489273475,-43713.22905833258,0.0,-0.2563611989959798
L2_tail_down,recent2024,no_dividend,0.0,344,-0.25326276305456624,-0.2522178337042492,37.5,-31193.668919765572,0.6946900517293244,0.7333385035490708,-10.16030222072976,-4.765778405457354,-33659.057742910845,12,33,3,4,11449.063919767,-0.06284977026557188,-0.28255873371695667,-0.3556218751570973,-0.43096200228834586,-49006.721101853596,,
L2_tail_down,main2020,signal1445,1445.0,836,-0.3065647784503406,-0.29644477946332715,32.535885167464116,-59275.82925063285,0.5396405375035599,0.6275969300755806,-10.213887194477932,-4.241938212099794,-62574.957237880044,14,81,7,23,22792.734250635003,-0.0673025682345496,-0.3186627664175211,-0.35103996061105547,-0.38514139022694216,-77088.88143272088,,
L3_afternoon_recovery,main2020,slip,0.0,337,-0.2858662227370984,-0.25522153389865637,32.34421364985163,-23881.535402000034,0.5334904373288809,0.5902719874557045,-7.665370201127665,-3.4437721734107036,-24740.582036000036,11,80,7,108,9141.535402000001,-0.13990560229630514,-0.30494380441619623,-0.3575414221724703,-0.40915790962679505,-34484.216600000036,,
