candidate,date,clock,five_ref,one_ref,difference,covered
C01,2023-04-28,09:40,16.65,,,False
C01,2023-07-21,09:40,23.29,,,False
C01,2023-08-14,09:40,21.08,,,False
C01,2023-08-16,09:40,20.98,,,False
C01,2023-08-21,09:40,20.35,,,False
C01,2023-09-06,09:40,19.75,,,False
C01,2023-09-08,09:40,18.84,,,False
C01,2023-09-18,09:40,18.46,,,False
C01,2023-10-13,09:40,18.1,,,False
C01,2023-10-16,09:40,17.69,,,False
C01,2023-10-17,09:40,17.37,,,False
C01,2023-10-18,09:40,16.43,,,False
C01,2023-10-20,09:40,16.41,,,False
C01,2023-10-23,09:40,14.55,,,False
C01,2023-10-26,09:40,13.31,,,False
C01,2023-11-28,09:40,14.9,,,False
C01,2023-11-30,09:40,14.89,,,False
C01,2023-12-15,09:40,14.89,,,False
C01,2023-12-18,09:40,14.89,,,False
C01,2023-12-25,09:40,14.38,,,False
C01,2023-12-26,09:40,13.98,,,False
C01,2023-12-27,09:40,14.07,,,False
C01,2024-01-08,09:40,13.27,,,False
C01,2024-01-09,09:40,13.48,,,False
C01,2024-01-10,09:40,12.85,,,False
C01,2024-01-31,09:40,13.39,,,False
C01,2024-03-26,09:40,24.12,,,False
C01,2024-03-28,09:40,22.72,,,False
C01,2024-04-11,09:40,21.43,,,False
C01,2024-05-27,09:40,24.92,,,False
C01,2024-05-29,09:40,24.48,,,False
C01,2024-05-30,09:40,24.21,,,False
C01,2024-06-03,09:40,23.39,,,False
C01,2024-07-18,09:40,24.96,,,False
C01,2024-07-22,09:40,24.52,,,False
C01,2024-07-24,09:40,24.83,,,False
C01,2024-07-25,09:40,23.41,,,False
C01,2024-07-31,09:40,23.31,,,False
C01,2024-08-06,09:40,20.76,,,False
C01,2024-08-08,09:40,19.95,,,False
C01,2024-08-28,09:40,19.95,,,False
C01,2024-09-09,09:40,18.34,,,False
C01,2024-10-16,09:40,23.73,,,False
C01,2024-10-18,09:40,24.95,,,False
C01,2024-11-04,09:40,24.25,,,False
C01,2024-11-18,09:40,23.42,,,False
C01,2024-11-19,09:40,23.47,,,False
C01,2024-11-29,09:40,21.97,,,False
C01,2025-01-03,09:40,20.87,,,False
C01,2025-01-06,09:40,20.82,,,False
C01,2025-02-06,09:40,20.23,,,False
C01,2025-03-03,09:40,21.0,,,False
C01,2025-03-24,09:40,20.64,,,False
C01,2025-03-31,09:40,19.81,,,False
C01,2025-06-25,09:40,20.96,,,False
C01,2025-09-29,09:40,66.86,,,False
C01,2025-10-09,09:40,68.62,,,False
C01,2025-10-15,09:40,58.72,,,False
C01,2025-11-12,09:40,66.86,,,False
C01,2025-11-17,09:40,65.56,,,False
C01,2025-11-25,09:40,56.76,,,False
