id,window,losing_direction,n,losing_mean,opposite_mean,opposite_cash,large
ALL__intraday5__high,2021_2022,pt,90,-0.3043510915682299,-0.2869965622379641,-2552.0143832498725,False
ALL__intraday5__high,2024,rt,43,-0.9750663522663153,0.5732791241941012,3120.570584900097,True
ALL__intraday5__high,2025,rt,66,-1.0775026615141339,0.7052278917294258,18744.292751797282,True
ALL__intraday5__high,2026,pt,21,-1.4733131475921075,1.1175232382013927,17256.085518825148,True
ALL__intraday5__high,original_PT_window,rt,198,-0.7177515964554481,0.28966511821484814,1084.3491588226943,True
ALL__overnight_minus_intraday5__low,primary,rt,128,-0.6659537309653707,0.28685207855568573,-10864.203428842418,True
ALL__overnight_minus_intraday5__low,2023,rt,70,-1.187753841474437,0.6730510879365267,7335.2309023501375,True
ALL__overnight_minus_intraday5__low,2021_2022,rt,96,-0.281201299350795,-0.30896417124512604,-3503.6407169998565,False
ALL__overnight_minus_intraday5__low,2021_2022,pt,96,-0.30896417124512604,-0.281201299350795,-2704.040512999871,False
ALL__overnight_minus_intraday5__low,2024,rt,43,-1.0116523163728741,0.6091114745552176,4372.621221000091,True
ALL__overnight_minus_intraday5__low,2025,rt,67,-1.0222080414997745,0.6517094847715358,8783.550353014318,True
ALL__overnight_minus_intraday5__low,2026,pt,18,-1.8410701572466377,1.485939490052837,19788.67866035714,True
ALL__overnight_minus_intraday5__low,original_PT_window,rt,198,-0.85042851750898,0.4233870818721447,-3528.972526492278,True
ALL__overnight_minus_intraday5__high,primary,rt,134,-0.7006961876159372,0.32074712091186225,27013.415292288628,True
ALL__overnight_minus_intraday5__high,2023,rt,63,-0.6339326044772807,0.13663471848957096,751.3898009501186,True
ALL__overnight_minus_intraday5__high,2021_2022,rt,90,-0.3127984665378524,-0.27602099800140345,-3004.214420449897,False
ALL__overnight_minus_intraday5__high,2021_2022,pt,90,-0.27602099800140345,-0.3127984665378524,-2824.3043745498885,False
ALL__overnight_minus_intraday5__high,2024,rt,43,-0.353066927497584,-0.04465528289548169,-990.7857655499037,False
ALL__overnight_minus_intraday5__high,2024,pt,43,-0.04465528289548169,-0.353066927497584,-2770.340996949887,False
