id,window,direction,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
ALL__upper_shadow__low,2023,rt,46,-0.21894097385600286,0.0673265515245591,52.17391304347826,-2186.9638485999017,0.8224063787917514,0.7997703822594423,-8.082359090513478,-6751.712186249984,16
ALL__upper_shadow__low,2023,pt,46,-0.2846256793401605,-0.5829027612326318,41.30434782608695,-1748.5680438999043,0.7780813927356414,0.8386272270545945,-4.283460783050841,-6046.414291099946,16
ALL__upper_shadow__low,2021_2022,rt,96,-0.4831464434313628,-0.5119304278439651,35.41666666666667,-5240.74308564988,0.39899315817881853,0.39836771667728155,-5.107730410911589,-5367.548072049891,31
ALL__upper_shadow__low,2021_2022,pt,96,-0.10635442413610814,-0.09897014681596135,44.79166666666667,-982.8719993498937,0.8130177806156781,0.838852708671017,-4.036146342320248,-2422.551827649944,31
ALL__upper_shadow__low,2024,rt,48,0.047113264369873654,0.48646733895765715,54.166666666666664,1363.4796476501324,1.041503793177962,1.1127643456659453,-9.235975889780406,-4078.7361244999897,18
ALL__upper_shadow__low,2024,pt,48,-0.4395453009910469,-0.8733859859962804,39.58333333333333,-5694.756270149885,0.6871482361552383,0.6438536732990745,-6.319063207581208,-8494.099528399905,18
ALL__upper_shadow__low,2025,rt,50,-0.5883820350322444,-0.38116970093192104,48.0,-11117.646950020811,0.5740577804760265,0.5851682853872057,-10.155278745951652,-17369.537007673895,14
ALL__upper_shadow__low,2025,pt,50,0.2016415153657219,-0.02191657413520645,50.0,4778.380960521105,1.2058813062212759,1.2524156480543278,-5.6866300598875,-8467.179169158002,14
ALL__upper_shadow__low,2026,rt,39,-0.41053990252293376,-0.2154421080981723,48.717948717948715,-6583.348966985828,0.7691620399376516,0.8442912472101545,-11.91543918827798,-12274.122389300937,9
ALL__upper_shadow__low,2026,pt,39,0.05201568459710074,-0.1427330028108863,46.15384615384615,-2224.4381050137704,1.0336965917182175,0.944566796927047,-7.467996327810795,-19256.596078985895,9
ALL__upper_shadow__low,original_PT_window,rt,183,-0.2909289948504308,0.0681975150567122,50.81967213114754,-18524.48011795641,0.7867209700906077,0.7988523784922845,-11.91543918827798,-25384.49327017078,56
ALL__upper_shadow__low,original_PT_window,pt,183,-0.12065720344068093,-0.5451187731034454,44.26229508196721,-4889.381458542453,0.9062842680637178,0.9430701924604676,-7.467996327810795,-19256.596078985895,56
ALL__upper_shadow__high,primary,rt,131,-1.0087821747666088,-0.4917516052830084,42.74809160305343,-48645.63755002536,0.4124070653438653,0.45835960496296735,-10.105854526435447,-49958.88880764343,46
ALL__upper_shadow__high,primary,pt,131,0.6281220543674023,0.1118711147169778,51.14503816793893,29634.801268526615,1.7123903936278768,1.6003507794688667,-7.80341265242462,-9166.365820187864,46
