id,stage,factor,tail,timing,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,months,delete5_pct,delete5_cash,stress10bp_pct,delayed_n,delayed_pct,delayed_cash,max_cash_loss,2024_n,2024_pct,2025_n,2025_pct,2026_n,2026_pct,basic_pass,cluster_t,maxT_p,statistical_pass,literal_open_pass
C__bias5__low,C,bias5,low,previous_close,4,0.5694099118421387,0.5575772921224743,50.0,1631.7630303270203,1.55150562694708,2.068384234300073,-2.7205006850040694,-1008.2789798249864,4,4,,,0.46981335856575623,4.0,0.3572637033643037,2071.1982967800336,-859.7076545249927,1,-2.7205006850040694,2,0.5575772921224743,1,3.882985748127676,False,,,False,False
D__clv3__high,D,clv3,high,previous_close,14,0.5609105474330679,0.7452021555637344,57.14285714285714,2101.969296356028,2.286792253633362,1.855951264695245,-3.0142171726499853,-1627.677273230992,9,6,-0.3412132660877318,-1688.7069438449812,0.46131341897447203,14.0,0.7089309590039308,2931.0391820420305,-1627.677273230992,2,2.2589977488651605,7,0.2774950411955391,5,0.2784573755927713,False,,,False,False
U__combo_distribution,U,combo_distribution,fixed,previous_close,11,0.5526705958970546,0.0747155314907239,54.54545454545454,5142.911870772057,1.5452044543383479,2.0195771157904,-4.887617485382503,-3219.962399369993,10,9,-1.8459867872316533,-5027.6720146699845,0.45306516904176725,11.0,0.6397952447056601,4014.3086606690363,-3219.962399369993,3,-0.8831640029632557,5,1.9632031206979672,3,-0.36238234657748936,False,,,False,False
C__clv__high,C,clv,high,previous_close,37,0.5463056714462969,1.0750771913824777,62.16216216216216,4051.068920341193,1.5918760396621963,1.2741207733680402,-9.500315327488163,-8652.369187134005,17,15,-0.062376313088183255,-3756.2726127058586,0.44669970753366284,37.0,0.2297373500567789,-1213.104934029866,-5813.242948890008,14,0.5862704441044809,11,1.4616633554305138,12,-0.33939777364044943,False,1.337287488199841,0.9728054389122176,False,False
R__clv3__high,R,clv3,high,previous_close,26,0.5320458252405327,1.1594183036744892,65.38461538461539,-174.4851772709062,1.5240339555956393,0.9865215342230462,-8.628950102799992,-10428.408713591969,14,12,-0.38759237312097383,-8805.252111741933,0.4324329165196995,26.0,0.34593645966272274,-504.33736667190897,-6212.844074015994,15,1.2540581155963204,9,-0.3151052363135514,2,-1.0708665754344997,False,,,False,False
C__current_gap__low,C,current_gap,low,after_open,22,0.5146788618082536,1.7931435987875846,59.09090909090909,5511.344480316165,1.4939405958554761,1.688873953867851,-8.827690427622347,-2956.962787694995,14,12,-0.38733294607197166,-2726.997192170911,0.4150570235366244,22.0,0.2692455176396075,3373.6799132831475,-2956.962787694995,6,-0.4742688192976055,8,1.686069791375164,8,0.08499869307073704,False,,,False,False
R__body__high,R,body,high,previous_close,28,0.47967256382585255,0.6264524731133939,60.71428571428571,9417.940776594134,1.4771180727585471,2.060149869625244,-6.295431170794602,-2913.9881113929832,14,13,-0.481190691423836,-4353.21984415191,0.3800328454934059,28.0,0.29459032661062473,7100.472850214137,-1910.7435108599916,16,0.47476412219094755,7,-0.5604624500631749,5,1.951568596502187,False,,,False,False
C__ret5__low,C,ret5,low,previous_close,3,0.47865706606335046,-0.0601616965596156,33.33333333333333,1058.1174119060177,3.681780885190416,10.116700597379984,-0.4752926375807713,-116.06363514999126,2,2,,,0.37901706786403233,3.0,0.40831800397857804,568.7069195660058,-102.94838529999504,0,,3,0.47865706606335046,0,,False,,,False,False
C__signed_volume5__low,C,signed_volume5,low,previous_close,2,0.44619987828945384,0.44619987828945384,50.0,466.3401381630049,1.8270421120916784,1.6588205517710422,-1.0790257757515307,-707.8409088930041,2,2,,,0.3465373494930002,2.0,-0.23212862056373246,-352.7208984509843,-707.8409088930041,0,,1,1.9714255323304384,1,-1.0790257757515307,False,,,False,False
U__intraday5__low,U,intraday5,low,previous_close,19,0.4365174235475445,0.137204631068279,63.1578947368421,3009.4298206610847,1.4539573829595702,1.2683906929033566,-5.989254518903222,-9386.15606949598,11,8,-1.03165301609812,-9812.11715948395,0.33685256654247964,19.0,0.4320017896810808,2500.0381698981037,-3342.004021547998,5,1.2426519413874582,7,-0.3293262631863802,7,0.6265507403958167,False,,,False,False
