id,window,losing,losing_mean,large,opposite,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
REL20_high,old2020_2023,rt,-0.8969139705752949,True,pt,25,0.3418659099882617,0.0061283644421317,52.0,1021.3159973000331,1.3667806028889757,1.3040883981225437,-5.049697691046656,-1449.5154006999906,16
REL20_high,recent2024,pt,-1.9935004866057326,True,rt,24,1.6141555294841032,1.2222926145374147,75.0,12246.714317735154,3.910740459349433,3.1714361549254453,-4.650157583560376,-2839.1262382439963,15
REL20_high,all_available,pt,-0.7678902343417379,True,rt,54,0.29297818794915814,0.6932979326464304,57.407407407407405,9212.210265785203,1.2823145428668954,1.7941206550182272,-10.90774674562256,-3491.615643199965,35
REL20_high,2019,rt,-0.09921225879631308,False,pt,5,-0.43374174512456243,-1.1695770717054137,40.0,-277.7990403499952,0.47906021405536064,0.5592939772670316,-1.7799381238937984,-559.2939169999946,4
REL20_high,2019,pt,-0.43374174512456243,False,rt,5,-0.09921225879631308,0.6383045264858126,60.0,-137.86900464998791,0.8375636972883557,0.7383935857855269,-2.009433005579155,-378.17529164999695,4
REL20_high,2020,rt,-0.12233285437796126,False,pt,4,-0.3952259250623895,-0.3069751876487248,50.0,-303.990965599989,0.6631365057276133,0.6471455750333623,-2.686073182926812,-550.6450024999964,3
REL20_high,2020,pt,-0.3952259250623895,False,rt,4,-0.12233285437796126,-0.22529784020391896,50.0,-64.11090439999077,0.8822678378297641,0.9135764086211614,-2.2282735541771954,-512.9661568999945,3
REL20_high,2021,rt,-0.3704607514947351,False,pt,9,-0.18575557918563496,-0.4548597898734036,33.33333333333333,-182.2029142499876,0.8259238354532521,0.8651885664333195,-5.049697691046656,-1320.5235453499915,6
REL20_high,2021,pt,-0.18575557918563496,False,rt,9,-0.3704607514947351,-0.1174757375527438,44.44444444444444,-482.0529907499859,0.668438925429789,0.671576105967283,-5.107730410911589,-1300.4599910999943,6
REL20_high,2022,rt,-0.7158195451620348,True,pt,4,0.09406925852408689,0.01149003282414475,75.0,15.142850650003787,1.2837041943254033,1.1168614093709388,-1.3263005680655,-129.57956549999935,3
REL20_high,2023,rt,-1.9670116128462216,True,pt,8,1.4278843285663088,1.3109877497241746,62.5,1492.3670265000062,2.4876420029891064,2.468897891046804,-4.109218019130425,-675.8603928499963,4
REL20_high,2024,pt,-2.572412974819354,True,rt,10,2.183018744971022,2.5984415898570945,80.0,5148.769475500039,5.512028094871118,5.784759461971058,-4.650157583560376,-1076.0769723999938,7
REL20_high,2025,pt,-1.9370281662893496,True,rt,8,1.5530751150258189,1.554576613305161,87.5,3844.2745417510578,6.307455805974623,8.044919916262472,-2.34097114972114,-545.6803749999976,4
REL20_high,2026,pt,-1.1039427666715411,True,rt,6,0.7474907229502833,0.4298175416421527,50.0,3253.6703004840547,1.7316332364811415,1.8097419174740155,-4.331237586947363,-2839.1262382439963,4
REL20_low,main2020,rt,-0.0102520385750078,False,pt,13,-0.4667584007923998,-0.2427144577848455,38.46153846153847,-2566.1870174349783,0.5207683167284339,0.2777281237020489,-4.712952096710849,-2725.6286193349874,12
REL20_low,main2020,pt,-0.4667584007923998,False,rt,13,-0.0102520385750078,-0.1519518495233673,46.15384615384615,1433.0036174350278,0.9862095255608969,1.9987951630125005,-3.081525029393751,-725.906088099998,12
REL20_low,old2020_2023,rt,-0.29006797624902736,False,pt,7,-0.24852011908385663,-0.6790560927547615,28.57142857142857,-350.11407794999224,0.6649212707366938,0.5987234973959328,-2.5787230761639752,-509.5556798500015,7
REL20_low,old2020_2023,pt,-0.24852011908385663,False,rt,7,-0.29006797624902736,0.1167243650477863,57.14285714285714,-169.96914954998317,0.6005825456118893,0.7658524259042048,-3.081525029393751,-725.906088099998,7
REL20_low,recent2024,pt,-0.7213697294523667,True,rt,6,0.31619988871134835,-0.3475796267169918,33.33333333333333,1602.9727669850108,1.4141637464747279,3.2614470021460082,-2.8267120072254235,-391.2169417999986,5
REL20_low,all_available,rt,-0.0102520385750078,False,pt,13,-0.4667584007923998,-0.2427144577848455,38.46153846153847,-2566.1870174349783,0.5207683167284339,0.2777281237020489,-4.712952096710849,-2725.6286193349874,12
REL20_low,all_available,pt,-0.4667584007923998,False,rt,13,-0.0102520385750078,-0.1519518495233673,46.15384615384615,1433.0036174350278,0.9862095255608969,1.9987951630125005,-3.081525029393751,-725.906088099998,12
REL20_low,2020,pt,-0.9213281958087592,True,rt,1,0.3877749541584968,0.3877749541584968,100.0,59.21323550000247,,,0.3877749541584968,0.0,1
REL20_low,2021,rt,-0.3303281142670159,False,pt,3,-0.23124362311997707,-0.6790560927547615,33.33333333333333,-107.28626499999498,0.5654310019198945,0.4971250447900337,-0.9173092080945492,-213.3458106999971,3
REL20_low,2021,pt,-0.23124362311997707,False,rt,3,-0.3303281142670159,0.1167243650477863,66.66666666666666,-107.28626499999315,0.33003274984269343,0.3827046001852609,-1.4791534102127637,-173.8005256999997,3
REL20_low,2022,rt,-0.5229147069518585,True,pt,1,-0.0953210149732682,-0.0953210149732682,0.0,-8.91251490000058,0.0,0.0,-0.0953210149732682,-8.91251490000058,1
REL20_low,2022,pt,-0.0953210149732682,False,rt,1,-0.5229147069518585,-0.5229147069518585,0.0,-48.89252509999877,0.0,0.0,-0.5229147069518585,-48.89252509999877,1
REL20_low,2023,rt,-0.4521758690743911,False,pt,2,-0.0146303767225191,-0.0146303767225191,50.0,-93.22848254999911,0.9886530067088222,0.8170396558479284,-2.5787230761639752,-509.5556798500015,2
REL20_low,2023,pt,-0.0146303767225191,False,rt,2,-0.4521758690743911,-0.4521758690743911,50.0,-73.00359494999367,0.7065246170248692,0.8549250724073127,-3.081525029393751,-503.2130372999995,2
REL20_low,2024,pt,-0.8604554415756326,True,rt,3,0.44633950168593556,-0.1519518495233673,33.33333333333333,454.8199628500074,1.4495366276473185,2.0709409013223126,-2.8267120072254235,-391.2169417999986,3
REL20_low,2025,rt,-0.801065708329252,True,pt,2,0.38369206992263427,0.38369206992263427,100.0,135.76084105000842,,,0.1270161469274133,0.0,1
REL20_low,2026,pt,-2.51423619183257,True,rt,1,2.160312243868787,2.160312243868787,100.0,1432.2870176850058,,,2.160312243868787,0.0,1
VOL_high,main2020,pt,-0.5264382689998599,True,rt,34,0.03640010798337272,-0.152769396203292,47.05882352941176,5158.121860087111,1.0280545539412518,1.5907702803744563,-10.90774674562256,-3301.0276179999732,22
VOL_high,old2020_2023,rt,-1.0797183494794451,True,pt,20,0.5167089603213119,0.01149003282414475,55.00000000000001,1345.7287055000288,1.6406136945278949,1.5899229964813144,-4.109218019130425,-920.884927699983,13
