id,window,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,episodes,delete5_pct,delete5_cash,double_slip_pct,double_slip_cash,matched_n,excluded_n,matched_open_pct,matched_open_cash,delayed_pct,delayed_cash,month_ci_low,month_ci_high,down_pct,gross_mean_pct,cost_drag_pct,gross_cash,cost_cash,largest_month,largest_month_cash,delete_largest_month_cash
MKT20_low,2023,7,-1.635571849257406,-2.0602663660874567,28.57142857142857,-1894.6407605499899,0.18542039104026878,0.17295064627427695,-3.76286333553386,-2097.335849599994,3,7.0,-3.622572073943744,-1250.2643557999982,-1.736213037159518,-2005.174821099989,7.0,0.0,-1.635571849257406,-1894.6407605499899,-1.601573028796459,-1834.961215249989,-3.4221941824638056,0.9266033189600488,28.57142857142857,-1.3752191948907964,0.26035265436661004,-1609.9999999999975,284.64076054999236,2023-12,146.1253433999997,-2040.7661039499897
MKT20_low,2024,5,2.0605738006286556,4.045522958046783,60.0,2314.426670050011,4.458889454679473,6.449660055676065,-2.8267120072254235,-391.2169417999986,5,5.0,,,1.9617319283944656,2219.0758401000126,5.0,0.0,2.0605738006286556,2314.426670050011,2.527492684679105,2644.09345420001,-0.7427520662321895,4.503508552347472,80.0,2.266232869289726,0.2056590686610702,2510.000000000003,195.57332994999217,2024-06,1271.3876691000014,1043.0390009500097
MKT20_low,2025,5,1.7105911344415385,2.2611785734605547,60.0,3047.7560445010445,6.338485709272352,11.726466223205092,-1.0589240127478876,-284.1342135500024,3,4.0,,,1.6115695356285176,2900.708359002024,5.0,0.0,1.7105911344415385,3047.7560445010445,0.5467676088562475,230.9147896910406,-0.801065708329252,3.9469542577028207,60.0,1.9067172679039857,0.19612613346244712,3330.0000000000055,282.2439554989609,2025-01,1820.518499550012,1227.2375449510325
MKT20_low,2026,5,0.22113378764963754,1.0750771913824777,60.0,475.51024892703094,1.2431816209646398,1.160774658597768,-4.331237586947363,-2839.1262382439963,3,5.0,,,0.12135878204626191,177.22003985402603,5.0,0.0,0.22113378764963754,475.51024892703094,0.8170979706989904,2073.678125247021,-4.331237586947363,2.160312243868787,60.0,0.3999306433374561,0.1787968556878185,1009.9999999999909,534.4897510729597,2026-04,1882.3494694860215,-1406.8392205589905
REL20_high,main2020,49,0.33299762129053273,0.7265464680488039,57.14285714285714,9350.079270435192,1.3079481302179183,1.844364710990598,-10.90774674562256,-3491.6156431999643,31,46.0,-0.24887037928253883,-1787.1419232038652,0.23331865471987448,8176.106682870181,49.0,0.0,0.33299762129053273,9350.079270435192,0.2505946633460479,6762.584744895161,-0.572743677166733,1.3425753427583431,59.183673469387756,0.5675492967696552,0.23455167547912253,11840.000000000018,2489.9207295648257,2026-05,5270.984852580012,4079.09441785518
REL20_high,old2020_2023,25,-0.8969139705752949,-0.6192106897809984,40.0,-2896.6350472999616,0.43485934066727944,0.46690249593715694,-10.90774674562256,-3491.6156431999643,16,23.0,-1.8057734876778802,-4949.781978599971,-0.997174829196924,-3240.857294599961,25.0,0.0,-0.8969139705752949,-2896.6350472999616,-0.8364625130031459,-2677.1970211999546,-1.5910573283161704,0.05961302416546881,44.0,-0.6197110461488582,0.2772029244264367,-1959.9999999999993,936.6350472999623,2020-01,448.8552525000037,-3345.490299799965
REL20_high,recent2024,24,1.6141555294841032,1.2222926145374147,75.0,12246.714317735154,3.910740459349433,3.1714361549254453,-4.650157583560376,-2839.1262382439963,15,23.0,0.6038185566289824,1109.4931240960957,1.5150827004665393,11416.963977470139,24.0,0.0,1.6141555294841032,12246.714317735154,1.3829458887097914,9439.781766095115,0.38868201548498177,3.0514322099537354,75.0,1.8042788206431066,0.1901232911590036,13800.000000000015,1553.2856822648637,2026-05,5270.984852580012,6975.729465155142
REL20_high,all_available,54,0.29297818794915814,0.6932979326464304,57.407407407407405,9212.210265785203,1.2823145428668954,1.7941206550182272,-10.90774674562256,-3491.615643199965,35,51.0,-0.23359914249823008,-1925.0109278538544,0.19328187337801303,7960.121773570195,49.0,5.0,0.33299762129053273,9350.079270435192,0.2505946633460479,6762.584744895161,-0.536371089658249,1.160276204293744,59.25925925925925,0.5304936558352082,0.23751546788605005,11910.000000000018,2697.789734214817,2026-05,5270.984852580012,3941.225413205191
REL20_high,2018,0,,,,0.0,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,
REL20_high,2019,5,-0.09921225879631308,0.6383045264858126,60.0,-137.86900464998791,0.8375636972883557,0.7383935857855269,-2.009433005579155,-378.17529164999695,4,5.0,,,-0.19907858377222915,-215.98490929998493,0.0,5.0,,0.0,,0.0,-1.281182284403521,0.9454920584388642,60.0,0.1673483746776272,0.26656063347394027,70.00000000000387,207.86900464999178,2019-11,198.1739112000011,-336.042915849989
REL20_high,2020,4,-0.12233285437796126,-0.22529784020391896,50.0,-64.11090439999077,0.8822678378297641,0.9135764086211614,-2.2282735541771954,-512.9661568999945,3,4.0,,,-0.22221459631643137,-135.4052087999908,4.0,0.0,-0.12233285437796126,-64.11090439999077,-0.3073258966537473,-134.00523974999282,-2.0781552317211816,1.8334895229652592,50.0,0.13651475790990852,0.2588476122878698,119.9999999999992,184.11090439998998,2020-01,448.8552525000037,-512.9661568999945
REL20_high,2021,9,-0.3704607514947351,-0.1174757375527438,44.44444444444444,-482.0529907499859,0.668438925429789,0.671576105967283,-5.107730410911589,-1300.4599910999943,6,8.0,-2.4846073879036674,-1453.8559814999935,-0.4704569513377157,-601.8880814999861,9.0,0.0,-0.3704607514947351,-482.0529907499859,0.13811313167477365,206.9054577000183,-1.1184823896091123,0.47302025549445825,55.55555555555556,-0.09239876197385039,0.2780619895208847,-150.0000000000004,332.0529907499856,2021-08,201.4273613500012,-683.4803520999872
REL20_high,2022,4,-0.7158195451620348,-0.6299624729058513,25.0,-244.7272156499962,0.20087965011427605,0.22320583595218962,-2.323112554181377,-255.6653959999991,3,4.0,,,-0.8159721206237476,-281.74373129999424,4.0,0.0,-0.7158195451620348,-244.7272156499962,-0.774046651435726,-264.69702574999053,-1.4819134051060405,0.05027431478197092,25.0,-0.40514687196659127,0.3106726731954435,-130.0000000000008,114.7272156499954,2022-08,10.93818035000291,-255.6653959999991
REL20_high,2023,8,-1.9670116128462216,-1.8642185313195838,37.5,-2105.7439364999886,0.28084378908330715,0.2761147067900056,-10.90774674562256,-2251.869279899988,4,7.0,-6.050963631170016,-2371.580721249997,-2.0678139125153674,-2221.8202729999894,8.0,0.0,-1.9670116128462216,-2105.7439364999886,-2.228636352224215,-2485.4002133999893,-3.76286333553386,0.9266033189600488,37.5,-1.6983323549662588,0.2686792578799628,-1799.9999999999968,305.74393649999126,2023-12,146.1253433999997,-2251.869279899988
