id,window,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,ci_low,ci_high,increment,inc_low,inc_high,p_mean,p_inc
ON1_F3,old2020_2023,114,-0.37859566996349864,-0.3212669487710902,28.947368421052634,-6480.312274249799,0.5364410533133253,0.5742970895964132,-10.213887194477932,-6.010779955569617,-7588.954861499818,10.0,29.0,4.0,36.0,2773.0522742499998,-0.11929784716231265,-0.44985992234748334,-0.6055965983608901,-0.744982006468407,-10773.993761899808,-0.8535336627749565,0.005491680397071324,-0.0308186321968551,-0.46796734992956945,0.3383582835342682,0.9445277361319341,0.631184407796102
ON1_F3,recent2024,123,-0.4055826697370111,-0.4013288767468551,34.959349593495936,-21522.118055197563,0.576837976241852,0.5647118706706347,-5.776249335468189,-4.3776927695355345,-22182.28482316459,7.0,29.0,3.0,37.0,4082.698055198,-0.21509694670004287,-0.4858221036978972,-0.6700436645624483,-0.7874095495273247,-33926.51424010359,-0.6562690895841804,-0.09576338349803114,-0.10413851686228393,-0.33746533780635724,0.1623656238543781,1.0,0.8295852073963018
ON1_F3,2018,28,-0.5859845251101462,-0.3884030068506492,32.142857142857146,-2973.6834184999543,0.1478493293698663,0.10283496550360578,-2.8394787577975955,-2.836584840548368,-2990.6473177999724,8.0,6.0,1.0,8.0,709.5584184999999,-0.31301814402383826,-0.6608075007947511,-0.8265119545657226,-1.0621452394624196,-3279.7070782999635,,,,,,,
ON1_F3,2019,38,-0.6987996441516641,-0.3715654672127485,42.10526315789473,-3788.7872879999504,0.17085556258242854,0.16751694204693418,-10.234040128153762,-6.590849288880469,-3788.7872879999504,6.0,10.0,1.0,13.0,944.567288,-0.42541738612520186,-0.7453180923613446,-0.9002977459366659,-1.1191523154240783,-4226.513054299954,,,,,,,
ON1_F3,2020,34,-0.04151253112578899,-0.20387322085063692,44.11764705882353,-124.24182239992601,0.9274929311686009,0.9590569623768904,-4.58529445540711,-4.158939910875158,-949.3105320999355,5.0,9.0,1.0,12.0,872.5418224000001,0.23026039085121006,-0.19159405159690582,-0.48142788012959076,-0.7469958127266693,-2211.004610499942,,,,,,,
ON1_F3,2021,14,-0.5827837135630672,-0.5442646207105126,7.142857142857142,-1075.0609806999764,0.011246087094032157,0.011487019116027753,-1.949177580461522,-1.949177580461522,-1075.0609806999764,8.0,5.0,1.0,6.0,325.92598069999997,-0.30108394398800487,-0.6347517029251772,-0.8219308575103409,-1.1036839274040307,-976.8792164999837,,,,,,,
ON1_F3,2022,11,-0.49293013085163295,-0.5676925701792322,18.181818181818183,-503.6974664999899,0.26385998510364195,0.28240142891613723,-1.562323861056031,-1.562323861056031,-618.9220682999937,6.0,5.0,1.0,5.0,218.53746650000002,-0.18501657361374688,-0.6561103953447852,-1.1365717395017927,-1.562323861056031,-653.3894844499947,,,,,,,
ON1_F3,2023,55,-0.512132307060202,-0.48226075840266,27.27272727272727,-4777.312004649907,0.514541098570097,0.5405829040368968,-10.213887194477932,-7.869683476025866,-5884.446309499934,7.0,10.0,1.0,13.0,1356.0470046500002,-0.27597182436111795,-0.6637322544025537,-0.976832974916269,-1.2448718124811184,-8726.886555699915,,,,,,,
ON1_F3,2024,52,-0.5003434869234724,-0.43436315335042736,25.0,-5917.795910749861,0.37232412456647473,0.3682639126031494,-4.537453228723166,-3.3214236149083995,-6415.57413724991,7.0,12.0,1.0,15.0,1117.1409107499999,-0.30194384298953936,-0.5612150744702786,-0.7495186269713674,-0.9634639636148766,-8055.069280099878,,,,,,,
ON1_F3,2025,40,-0.38756895920824525,-0.31933281329588936,42.5,-9815.25279625284,0.6697990121052357,0.5461892255824157,-5.776249335468189,-5.495933304757508,-12524.304611690928,7.0,10.0,1.0,12.0,1438.7327962530003,-0.1982703956976675,-0.6381124779954076,-1.1523004350054349,-1.4932849229077683,-19963.039883583868,,,,,,,
ON1_F3,2026,31,-0.2698725383645804,-0.4013288767468551,41.935483870967744,-5789.069348194864,0.716305691593902,0.6861843446465309,-3.801017980458542,-3.3534286557258906,-6630.635588480898,4.0,7.0,1.0,10.0,1526.8243481949999,-0.0911299606691136,-0.4794726248367728,-0.8229107716006037,-1.3030851750190342,-13380.861771199903,,,,,,,
ON1_F4,all,356,-0.27293015153356404,-0.3135710576428278,34.55056179775281,-40210.19258085202,0.6721493186963777,0.5841391428965276,-10.23087722223011,-4.919366375290414,-40244.08270675702,12.0,83.0,9.0,95.0,10630.557580853001,-0.04537029599421436,-0.3012912369580117,-0.37020282241800595,-0.4466859578343885,-56532.794959424034,,,,,,,
ON1_F4,main2020,295,-0.24556453129007494,-0.33530080974604864,35.25423728813559,-35678.2961155521,0.7146576941085107,0.6016724037305681,-10.23087722223011,-4.961489479445258,-35712.18624145709,12.0,65.0,7.0,73.0,9056.786115553,-0.026907019709279126,-0.27971697926774636,-0.3628261843218738,-0.4555499796327078,-52000.89849412411,-0.49016020736410715,-0.015576884675344325,0.08357087133521218,-0.12647165919556252,0.2794412479869695,0.975512243878061,0.18690654672663667
ON1_F4,old2020_2023,122,-0.33873526437699814,-0.37077397681240964,31.147540983606557,-9012.788838549815,0.5764581967487834,0.5101584478974467,-10.23087722223011,-4.691626151809095,-10496.855781549839,12.0,32.0,4.0,37.0,3123.5038385499997,-0.07815656579600415,-0.38779380302314825,-0.5480463827791624,-0.6753431814839649,-13077.852707499824,-0.6468101795926793,-0.09346988103628198,0.009041773389645402,-0.2659014412675833,0.2377495491568314,0.9865067466266867,0.46776611694152925
ON1_F4,recent2024,173,-0.17986031489351628,-0.2928904817447293,38.15028901734104,-26665.507277002285,0.8009276970062335,0.6253309918213655,-8.310725936842765,-4.928329257455122,-30856.848147107426,12.0,33.0,3.0,37.0,5933.282277003,0.009234278687139694,-0.23785517238792814,-0.37910387537482215,-0.5122393268709993,-42988.1096555743,-0.5179114279124458,0.1785905088958525,0.12158383798121092,-0.15539769737841508,0.4068860002984599,0.8425787106446777,0.1924037981009495
ON1_F4,2018,11,-1.3572735912142304,-1.0400671678352207,9.090909090909092,-2633.44330179998,0.03517280469097275,0.024223221676033822,-3.8864007666312554,-3.8864007666312554,-2633.4433017999804,7.0,6.0,1.0,7.0,284.5133018,-1.0873393754822478,-1.5474283452980981,-2.3779184518484207,-3.8864007666312554,-2507.41071249999,,,,,,,
ON1_F4,2019,50,-0.1958317542404034,-0.20387671800367818,36.0,-1898.4531634999341,0.6375337713429885,0.5707194180350805,-5.749514376982678,-4.281086569748657,-2894.5495685999635,7.0,12.0,1.0,15.0,1289.2581635000001,0.07492957141203527,-0.2694861520517509,-0.47797138265114164,-0.6302054130037533,-3578.161067299943,,,,,,,
ON1_F4,2020,31,-0.7776233752556029,-0.4751301374365419,19.35483870967742,-4458.212188199957,0.17620675192632596,0.14080606544258462,-10.23087722223011,-6.277110143893835,-4458.212188199957,8.0,10.0,1.0,12.0,812.8621882000001,-0.510537331908775,-0.8872662331512974,-1.1231948603496331,-1.3711327108143914,-5179.8054757999635,,,,,,,
ON1_F4,2021,16,-0.22600553013220348,-0.38201457504257136,25.0,-472.52429369997793,0.4383915050596814,0.4622994371755081,-1.1322162854987343,-1.1322162854987343,-472.52429369997793,5.0,6.0,1.0,7.0,385.57929370000005,0.052535443351586775,-0.3331900450930398,-0.5668118019137375,-0.7267793292412823,-847.669484399983,,,,,,,
