date,open,high,low,close,preclose,volume
2019-11-08,12.9237570000,13.5028084500,12.9237570000,13.4272800000,12.8566206000,78158951
2019-11-11,13.2762231000,13.4104959000,13.0412457000,13.0748139000,13.4272800000,39630109
2019-11-12,13.0915980000,13.2426549000,12.6803875500,13.2426549000,13.0748139000,37042318
2019-11-13,13.1503423500,13.2930072000,12.9405411000,13.1419503000,13.2426549000,26332989
2019-11-14,13.1587344000,13.5951210000,12.8650126500,13.4188879500,13.1419503000,61438273
2019-11-15,13.3517515500,13.8049222500,13.2678310500,13.4356720500,13.4188879500,53454839
2019-11-18,13.5028084500,13.7881381500,13.2258708000,13.3769277000,13.4356720500,45937398
2019-11-19,13.3685356500,13.5363766500,13.0915980000,13.4944164000,13.3769277000,38759218
2019-11-20,13.4272800000,13.7965302000,13.3097913000,13.6035130500,13.4944164000,61954878
2019-11-21,13.4692402500,14.3336214000,13.3853197500,14.0986440000,13.6035130500,92295362
2019-11-22,14.0902519500,14.2497009000,13.8972348000,14.1154281000,14.0986440000,68605559
2019-11-25,14.1489963000,14.1825645000,13.3433595000,13.5951210000,14.1154281000,67285471
2019-11-26,13.5951210000,13.9475871000,13.5531607500,13.7713540500,13.5951210000,47443216
2019-11-27,13.6790415000,14.0734678500,13.5531607500,13.8804507000,13.7713540500,40929728
2019-11-28,13.8468825000,13.9643712000,13.6790415000,13.7461779000,13.8804507000,24392197
2019-11-29,13.7126097000,14.1322122000,13.7126097000,13.9811553000,13.7461779000,50232555
2019-12-02,13.9727632500,14.3755816500,13.9643712000,14.2832691000,13.9811553000,61789817
2019-12-03,14.2077406500,14.4930703500,14.1573883500,14.3420134500,14.2832691000,48629765
2019-12-04,14.2245247500,14.2245247500,13.9559791500,14.1322122000,14.3420134500,35876093
2019-12-05,14.2077406500,14.4762862500,14.0315076000,14.3839737000,14.1322122000,50532831
2019-12-06,14.3252293500,14.4511101000,14.0315076000,14.0986440000,14.3839737000,52842876
2019-12-09,13.9308030000,15.0553377000,13.9308030000,14.7112636500,14.0986440000,103238509
2019-12-10,14.7112636500,14.9630251500,14.6021670000,14.8958887500,14.7112636500,51057430
2019-12-11,14.8958887500,15.1392582000,14.6021670000,14.9546331000,14.8958887500,46782341
2019-12-12,14.9630251500,15.0385536000,14.7196557000,14.9294569500,14.9546331000,43966365
2019-12-13,15.0553377000,15.9616791000,14.9546331000,15.8777586000,14.9294569500,118682327
2019-12-16,15.7938381000,16.2218326500,15.6511732500,16.0707757500,15.8777586000,65556500
2019-12-17,15.9700711500,16.2973611000,15.7854460500,15.9616791000,16.0707757500,75693636
2019-12-18,15.9365029500,16.0204234500,15.7015255500,15.8861506500,15.9616791000,47153828
2019-12-19,15.8190142500,15.8357983500,14.9798092500,15.2315707500,15.8861506500,106056938
2019-12-20,15.1560423000,15.4078038000,14.9210649000,15.2315707500,15.2315707500,48748569
2019-12-23,15.1056900000,15.2903151000,14.8623205500,14.9965933500,15.2315707500,42079926
2019-12-24,15.0721218000,15.1728264000,14.4343260000,14.9965933500,14.9965933500,58830220
2019-12-25,14.9462410500,15.2903151000,14.8455364500,15.1728264000,14.9965933500,46762686
2019-12-26,15.0637297500,15.3742356000,14.9882013000,15.1056900000,15.1728264000,34477370
2019-12-27,15.1392582000,15.2147866500,14.6441272500,14.6944795500,15.1056900000,50328543
2019-12-30,14.5602067500,14.9462410500,14.3252293500,14.7700080000,14.6944795500,36974610
2019-12-31,14.7867921000,15.4497640500,14.7700080000,15.3322753500,14.7700080000,67460165
2020-01-02,15.3826276500,15.5588607000,15.1980025500,15.4245879000,15.3322753500,58251772
2020-01-03,15.5169004500,15.6427812000,15.1476502500,15.2903151000,15.4245879000,46561908
2020-01-06,15.1140820500,15.2147866500,14.8539285000,15.0217695000,15.2903151000,56504682
2020-01-07,15.0385536000,15.0553377000,14.7867921000,14.9882013000,15.0217695000,50276647
2020-01-08,14.7867921000,14.8707126000,14.5685988000,14.7028716000,14.9882013000,50746445
2020-01-09,14.8119682500,15.3994117500,14.8119682500,15.3574515000,14.7028716000,78983020
2020-01-10,15.4497640500,15.6008209500,15.0637297500,15.1308661500,15.3574515000,37985462
2020-01-13,15.1224741000,15.6931335000,14.9126728500,15.6176050500,15.1308661500,65030999
2020-01-14,15.6511732500,15.8022301500,15.4078038000,15.4329799500,15.6176050500,46355969
2020-01-15,15.3994117500,15.7602699000,15.3574515000,15.6931335000,15.4329799500,40945377
2020-01-16,15.6511732500,15.8357983500,15.4329799500,15.4497640500,15.6931335000,40469452
2020-01-17,15.4497640500,16.0372075500,15.3490594500,15.9365029500,15.4497640500,64639886
2020-01-20,15.8441904000,16.3309293000,15.7099176000,16.2302247000,15.9365029500,58199566
2020-01-21,16.1127360000,16.2721849500,15.8441904000,16.0204234500,16.2302247000,46362445
2020-01-22,15.8609745000,17.6233050000,15.6092130000,17.4974242500,16.0204234500,91715769
2020-01-23,17.2037025000,17.4386799000,16.2805770000,16.7841000000,17.4974242500,74880577
2020-02-03,15.1056900000,15.1056900000,15.1056900000,15.1056900000,16.7841000000,14286600
2020-02-04,14.3504055000,15.5085084000,14.3504055000,15.1224741000,15.1056900000,94608171
2020-02-05,15.2399628000,16.4400259500,15.0385536000,15.6847414500,15.1224741000,84368574
2020-02-06,15.5588607000,15.9952473000,15.4917243000,15.8777586000,15.6847414500,53236617
2020-02-07,16.7001795000,16.7001795000,15.6427812000,16.1966565000,15.8777586000,103233236
2020-02-10,15.8609745000,15.8945427000,15.2735310000,15.8693665500,16.1966565000,86790142
2020-02-11,15.7854460500,16.2721849500,15.7434858000,16.1379121500,15.8693665500,73047999
2020-02-12,16.0120314000,16.1546962500,15.7938381000,16.0707757500,16.1379121500,54930307
2020-02-13,16.0372075500,16.0372075500,15.4245879000,15.4581561000,16.0707757500,84722452
2020-02-14,15.3238833000,15.7350937500,15.0721218000,15.3994117500,15.4581561000,79123229
2020-02-17,15.4749402000,16.1630883000,15.2903151000,16.1043439500,15.3994117500,82865252
2020-02-18,16.1127360000,16.1127360000,15.6092130000,15.8190142500,16.1043439500,85895400
2020-02-19,15.6511732500,15.7770540000,15.4917243000,15.5169004500,15.8190142500,67160239
2020-02-20,15.6008209500,15.9616791000,15.2987071500,15.7854460500,15.5169004500,99567372
2020-02-21,15.6679573500,16.5155544000,15.6259971000,16.4484180000,15.7854460500,130698063
2020-02-24,16.5742987500,17.2876230000,16.4064577500,16.9015887000,16.4484180000,137846417
2020-02-25,16.4903782500,17.0274694500,15.9197188500,16.7505318000,16.9015887000,116712016
2020-02-26,16.4064577500,16.4316339000,15.5420766000,15.7015255500,16.7505318000,111767567
2020-02-27,15.6427812000,15.9700711500,15.3994117500,15.8609745000,15.7015255500,68353460
2020-02-28,15.1728264000,15.4749402000,14.2748770500,14.3336214000,15.8609745000,115905757
2020-03-02,14.5182465000,14.8874967000,14.1406042500,14.6357352000,14.3336214000,95153301
2020-03-03,14.9630251500,15.2315707500,14.4343260000,14.6357352000,14.6357352000,89968854
2020-03-04,14.4595021500,14.5434226500,13.7797461000,14.0650758000,14.6357352000,113507367
2020-03-05,14.3504055000,14.4762862500,14.1070360500,14.4007578000,14.0650758000,87574496
2020-03-06,14.1238201500,14.4595021500,14.0147235000,14.2580929500,14.4007578000,66748706
2020-03-09,13.9979394000,14.0818599000,13.5615528000,13.5783369000,14.2580929500,71128402
2020-03-10,13.4104959000,13.9308030000,13.2510469500,13.9224109500,13.5783369000,71182423
2020-03-11,13.9895473500,14.4091498500,13.8636666000,13.8804507000,13.9224109500,68270833
2020-03-12,13.6370812500,13.7126097000,13.2846151500,13.5112005000,13.8804507000,67976365
2020-03-13,12.7391319000,13.4188879500,12.6300352500,13.1335582500,13.5112005000,85098364
2020-03-16,13.1587344000,13.2090867000,11.8915348500,12.0006315000,13.1335582500,123836633
2020-03-17,12.0761599500,12.2440009500,11.1614265000,11.6733415500,12.0006315000,92974479
2020-03-18,11.7908302500,11.9754553500,11.3628357000,11.3796198000,11.6733415500,70470996
2020-03-19,11.3712277500,11.5390687500,10.9096650000,11.3376595500,11.3796198000,88215253
2020-03-20,11.4803244000,11.5558528500,11.1530344500,11.3880118500,11.3376595500,64673456
2020-03-23,10.9935855000,11.0607219000,10.4984545500,10.5068466000,11.3880118500,94143376
2020-03-24,10.6998637500,10.9851934500,10.4229261000,10.9264491000,10.5068466000,90752716
2020-03-25,11.2453470000,11.4131880000,11.1194662500,11.3712277500,10.9264491000,92307384
2020-03-26,11.2537390500,11.3460516000,11.1194662500,11.1530344500,11.3712277500,51742620
2020-03-27,11.3292675000,11.3712277500,10.9432332000,10.9684093500,11.1530344500,67849085
2020-03-30,10.7753922000,10.8509206500,10.4313181500,10.7586081000,10.9684093500,62592932
2020-03-31,11.1530344500,11.1614265000,10.9348411500,11.0858980500,10.7586081000,63141721
