scenario,year,increment,sales,deposits
S1_F1_post0935_12_1000,2026,-3577.6716226793505,35,0.0
S2_F2_open_5_all,2020,-1189.9164006999126,51,942.2736086999448
S2_F2_open_5_all,2021,-2579.019703799906,59,1926.6624957998738
S2_F2_open_5_all,2022,-1744.9737143499406,57,1021.2414200999683
S2_F2_open_5_all,2023,-685.2964723498735,65,1280.3371618499295
S2_F2_open_5_all,2024,5396.851372650177,68,0.0
S2_F2_open_5_all,2025,6350.716516450171,62,0.0
S2_F2_open_5_all,2026,1228.215087647317,46,0.0
S2_F2_open_5_1000,2020,-1080.0079168999255,46,1018.2618089999505
S2_F2_open_5_1000,2021,-2222.8932491999167,49,1834.6393570998916
S2_F2_open_5_1000,2022,-1208.1631335499587,46,763.7925700999676
S2_F2_open_5_1000,2023,-2687.545687899901,51,2081.916251349894
S2_F2_open_5_1000,2024,3268.8817143001506,57,0.0
S2_F2_open_5_1000,2025,4007.1839419121825,53,0.0
S2_F2_open_5_1000,2026,787.8957682292094,39,0.0
S2_F2_open_10_all,2020,-1939.4562013999166,51,1539.4562013999184
S2_F2_open_10_all,2021,-3318.639807599917,59,2818.639807599913
S2_F2_open_10_all,2022,-2299.3913286999377,57,1361.031440199964
S2_F2_open_10_all,2023,-1723.3882446998978,65,1874.5050236999323
S2_F2_open_10_all,2024,3937.345245300159,68,0.0
S2_F2_open_10_all,2025,4287.079000900267,62,0.0
S2_F2_open_10_all,2026,-1593.4752667056164,46,0.0
S2_F2_open_10_1000,2020,-1761.012033799927,46,1561.012033799927
S2_F2_open_10_1000,2021,-2841.903698399923,49,2591.903698399923
S2_F2_open_10_1000,2022,-1650.9465670999525,46,1150.9465670999525
S2_F2_open_10_1000,2023,-3513.142975799903,51,2963.142975799905
S2_F2_open_10_1000,2024,2016.5856286001435,57,0.0
S2_F2_open_10_1000,2025,2222.2489398242033,53,0.0
S2_F2_open_10_1000,2026,-1641.0830535416608,39,851.6501924774493
S2_F2_open_11_all,2020,-2089.3641615400556,51,1689.3641615400538
S2_F2_open_11_all,2021,-3466.563828360064,59,2966.5638283600656
S2_F2_open_11_all,2022,-2410.2748515700478,57,1428.9894442200275
S2_F2_open_11_all,2023,-1931.0065991700976,65,1993.3385960700562
S2_F2_open_11_all,2024,3645.4440198298653,68,0.0
S2_F2_open_11_all,2025,3874.3514977898667,62,0.0
S2_F2_open_11_all,2026,-2157.8133375768084,46,0.0
S2_F2_open_11_1000,2020,-1897.2128571800495,46,1697.2128571800495
S2_F2_open_11_1000,2021,-2965.705788240055,49,2715.705788240055
S2_F2_open_11_1000,2022,-1739.503253810044,46,1239.503253810044
S2_F2_open_11_1000,2023,-3678.2624333800686,51,3128.2624333800704
S2_F2_open_11_1000,2024,1766.1264114598707,57,0.0
S2_F2_open_11_1000,2025,1865.261939406275,53,0.0
S2_F2_open_11_1000,2026,-2126.878817896344,39,1710.6750755261455
S2_F2_open_12_all,2020,-2239.272121680049,51,1839.272121680051
S2_F2_open_12_all,2021,-3614.4878491200434,59,3114.4878491200416
S2_F2_open_12_all,2022,-2521.158374440023,57,1521.1583744400232
S2_F2_open_12_all,2023,-2138.6249536400537,65,2087.961242240015
S2_F2_open_12_all,2024,3353.5427943599207,68,0.0
S2_F2_open_12_all,2025,3461.6239946798814,62,0.0
S2_F2_open_12_all,2026,-2722.1514084474475,46,0.0
S2_F2_open_12_1000,2020,-2033.413680560052,46,1833.413680560052
S2_F2_open_12_1000,2021,-3089.5078780800304,49,2839.5078780800322
S2_F2_open_12_1000,2022,-1828.0599405200246,46,1328.0599405200228
S2_F2_open_12_1000,2023,-3843.381890960047,51,3293.381890960047
S2_F2_open_12_1000,2024,1515.6671943199217,57,81.56131080003252
S2_F2_open_12_1000,2025,1508.2749389886994,53,0.0
S2_F2_open_12_1000,2026,-2612.6745822505763,39,2488.138647773827
