model,month,feature,logistic_coef,net_return_coef
A12,2023-11,gap,0.09697564626278798,-0.20522321762590273
A12,2023-11,gap_clv,-0.16041577656227035,-0.20962184092338074
A12,2023-11,gap_weak,0.2272967242303732,0.4099118109195113
A12,2023-12,intercept,-0.007191525824310543,-0.46301213617004255
A12,2023-12,clv,0.041270353852474025,0.025807011362649318
A12,2023-12,logvolume,0.09209238737926122,0.07248523510832729
A12,2023-12,intraday1,0.07902263826929949,0.08279771674126368
A12,2023-12,ret5,-0.0321967267724077,-0.06610681748349036
A12,2023-12,market1,-0.15628739845579243,-0.16017676042671422
A12,2023-12,relative5,-0.19599541131843604,-0.2357823499703774
A12,2023-12,weak,-0.16461643821771493,-0.09338057513130994
A12,2023-12,weak_clv,-0.11822629652774419,-0.06714590469151244
A12,2023-12,weak_ret5,0.04743775967652174,0.14760702453544267
A12,2023-12,gap,0.08067283543934711,-0.22386492116316703
A12,2023-12,gap_clv,-0.17183351948518488,-0.2148872323371593
A12,2023-12,gap_weak,0.25706817861468956,0.4537428243486785
A12,2024-01,intercept,-0.023236978815457495,-0.46112502539653594
A12,2024-01,clv,0.051347512666455354,0.04886458810779811
A12,2024-01,logvolume,0.055221627402574906,0.07760874641285485
A12,2024-01,intraday1,0.0896524092502325,0.07436486551829527
A12,2024-01,ret5,-0.03632284044271407,-0.12398620050272079
A12,2024-01,market1,-0.15949501693761245,-0.15789436919788225
A12,2024-01,relative5,-0.1608308744223802,-0.17501933057116031
A12,2024-01,weak,-0.12969660582109932,-0.045502474051060976
A12,2024-01,weak_clv,-0.13614833299603407,-0.1291758937337286
A12,2024-01,weak_ret5,0.045453042716063256,0.18869407359652174
A12,2024-01,gap,0.08113880240096119,-0.22126460200946832
A12,2024-01,gap_clv,-0.17424149925666588,-0.21385706071516372
A12,2024-01,gap_weak,0.27005771168290615,0.42005202700249433
A12,2024-02,intercept,0.04253981002231653,-0.4271465314066503
A12,2024-02,clv,0.07348331438999609,0.060855929121828196
A12,2024-02,logvolume,0.094342878979246,0.10459396567825549
A12,2024-02,intraday1,0.05321405776008108,0.060482341022045395
A12,2024-02,ret5,-0.0032763965682058457,-0.03199737336089579
A12,2024-02,market1,-0.11912573007188991,-0.1072809987584983
A12,2024-02,relative5,-0.2163513202967661,-0.3039152968224876
A12,2024-02,weak,-0.11301492687664805,-0.06357957748656572
A12,2024-02,weak_clv,-0.1444766636095147,-0.1316732657614853
A12,2024-02,weak_ret5,0.05746928594102748,0.18659107019425372
A12,2024-02,gap,0.12733723613918593,-0.180224002503743
A12,2024-02,gap_clv,-0.19970789598654012,-0.2384736514685906
A12,2024-02,gap_weak,0.23901071873170304,0.3891416022903728
A12,2024-03,intercept,-0.006083529847828522,-0.5056359288115044
A12,2024-03,clv,0.09755508398534622,0.10145351209018706
A12,2024-03,logvolume,0.07146033001158923,0.08989616721946092
A12,2024-03,intraday1,0.06002806962640555,0.0616845386580835
A12,2024-03,ret5,0.04670552210834982,0.1236265921366387
A12,2024-03,market1,-0.10028519198722008,0.00831764271209361
A12,2024-03,relative5,-0.2616439654610957,-0.44450263186925715
A12,2024-03,weak,-0.08948249576460336,0.06559579422332064
A12,2024-03,weak_clv,-0.15531885355515648,-0.24086528089017453
