ordinal,date,status_old,cash_old,net_old,fee_old,extra_cash_old,days_missing_old,restore_date_old,auction_quantity,restore_clock_old,restore_price,restore_kind,missed_dividend_old,cash_openonly,net_openonly,status_openonly,restore_date_openonly,days_missing_openonly,restore_clock_openonly,missed_dividend_openonly,fee_openonly,extra_cash_openonly
581,2020-10-30,completed,212.29082750000265,1.5552441575091769,24.184172500000003,0.0,1,2020-11-02,unknown,09:25,13.4,open_proxy,0.0,212.29082750000262,1.5552441575091769,restored_at_open,2020-11-02,1,09:25,0.0,24.184172500000003,0.0
582,2020-11-02,completed,-56.85022020000024,-0.431992554711248,23.6802202,56.85022019999997,1,2020-11-03,unknown,09:25,13.18,open_proxy,0.0,-56.85022020000024,-0.43199255471124803,restored_at_open,2020-11-03,1,09:25,0.0,23.6802202,56.85022019999997
583,2020-11-03,completed,-57.29891019999749,-0.4282429760836883,23.908910200000005,57.29891019999741,1,2020-11-04,unknown,09:25,13.4,open_proxy,0.0,-57.29891019999749,-0.4282429760836883,restored_at_open,2020-11-04,1,09:25,0.0,23.908910200000005,57.29891019999741
584,2020-11-04,completed,-247.58126709999868,-1.8380198002969463,24.0062671,247.5812670999985,1,2020-11-05,unknown,09:25,13.68,open_proxy,0.0,-247.58126709999868,-1.8380198002969466,restored_at_open,2020-11-05,1,09:25,0.0,24.006267100000002,247.5812670999985
585,2020-11-05,completed,-78.18629539999748,-0.5661570992034575,24.3562954,78.1862953999971,1,2020-11-06,unknown,09:25,13.85,open_proxy,0.0,-78.18629539999748,-0.5661570992034575,restored_at_open,2020-11-06,1,09:25,0.0,24.3562954,78.1862953999971
586,2020-11-06,completed,-308.69340269999753,-2.2049528764285538,24.5584027,308.693402699997,1,2020-11-09,unknown,09:25,14.27,open_proxy,0.0,-308.69340269999753,-2.2049528764285538,restored_at_open,2020-11-09,1,09:25,0.0,24.558402700000002,308.693402699997
587,2020-11-09,completed,10.657200500001366,0.074008336805565,24.9677995,0.0,1,2020-11-10,unknown,09:25,14.35,open_proxy,0.0,10.657200500001366,0.07400833680556504,restored_at_open,2020-11-10,1,09:25,0.0,24.9677995,0.0
588,2020-11-10,completed,79.34753120000218,0.5268760371846094,25.6524688,0.0,1,2020-11-11,unknown,09:25,14.94,open_proxy,0.0,79.34753120000218,0.5268760371846094,restored_at_open,2020-11-11,1,09:25,0.0,25.6524688,0.0
589,2020-11-11,completed,-9.638729699998098,-0.0662911258596843,25.113729700000004,9.638729699998294,1,2020-11-12,unknown,09:25,14.51,open_proxy,0.0,-9.638729699998098,-0.0662911258596843,restored_at_open,2020-11-12,1,09:25,0.0,25.113729700000004,9.638729699998294
590,2020-11-12,completed,130.55644170000102,0.9016328846685152,25.0485583,0.0,1,2020-11-13,unknown,09:25,14.31,open_proxy,0.0,130.55644170000102,0.9016328846685153,restored_at_open,2020-11-13,1,09:25,0.0,25.0485583,0.0
591,2020-11-13,completed,-139.31882599999832,-0.970862898954692,24.918826000000003,139.3188259999988,1,2020-11-16,unknown,09:25,14.45,open_proxy,0.0,-139.31882599999832,-0.9708628989546921,restored_at_open,2020-11-16,1,09:25,0.0,24.918826000000003,139.3188259999988
592,2020-11-16,completed,-19.11365979999922,-0.1338491582632998,24.8436598,19.11365979999937,1,2020-11-17,unknown,09:25,14.26,open_proxy,0.0,-19.11365979999922,-0.13384915826329985,restored_at_open,2020-11-17,1,09:25,0.0,24.8436598,19.11365979999937
593,2020-11-17,completed,-38.83853000000019,-0.2746713578500721,24.69853,38.8385300000009,1,2020-11-18,unknown,09:25,14.14,open_proxy,0.0,-38.83853000000019,-0.2746713578500721,restored_at_open,2020-11-18,1,09:25,0.0,24.698529999999998,38.8385300000009
594,2020-11-18,completed,70.68840110000203,0.4908916743055696,24.9665989,0.0,1,2020-11-19,unknown,09:25,14.29,open_proxy,0.0,70.68840110000203,0.4908916743055696,restored_at_open,2020-11-19,1,09:25,0.0,24.9665989,0.0
595,2020-11-19,completed,-49.25163009999987,-0.3434562768479768,24.9066301,49.2516300999996,1,2020-11-20,unknown,09:25,14.35,open_proxy,0.0,-49.25163009999987,-0.3434562768479768,restored_at_open,2020-11-20,1,09:25,0.0,24.9066301,49.2516300999996
596,2020-11-20,completed,-49.06807509999984,-0.3443373691228059,24.8130751,49.06807509999999,1,2020-11-23,unknown,09:25,14.26,open_proxy,0.0,-49.06807509999984,-0.3443373691228059,restored_at_open,2020-11-23,1,09:25,0.0,24.8130751,49.06807509999999
597,2020-11-23,completed,-18.88931479999877,-0.1333049738884881,24.7293148,18.88931479999883,1,2020-11-24,unknown,09:25,14.15,open_proxy,0.0,-18.889314799998772,-0.13330497388848817,restored_at_open,2020-11-24,1,09:25,0.0,24.7293148,18.88931479999883
598,2020-11-24,completed,-68.91531529999841,-0.4863466146788878,24.7303153,68.91531529999884,1,2020-11-25,unknown,09:25,14.2,open_proxy,0.0,-68.91531529999841,-0.48634661467888785,restored_at_open,2020-11-25,1,09:25,0.0,24.7303153,68.91531529999884
599,2020-11-25,completed,-8.720954699999744,-0.0618946394606085,24.6459547,8.72095470000022,1,2020-11-26,unknown,09:25,14.06,open_proxy,0.0,-8.720954699999744,-0.061894639460608546,restored_at_open,2020-11-26,1,09:25,0.0,24.6459547,8.72095470000022
