scenario,date,clock,quantity,reference,fine_price_available,price_gap,price_status,fill_status
S1_F1_30_paid_post0935_5,2024-01-29,09:40,1000,13.56,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2024-02-05,09:40,1000,14.42,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2024-02-21,09:40,1000,17.77,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2024-02-29,09:40,1000,18.46,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2024-03-06,09:40,1000,22.29,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2024-03-12,09:40,1000,25.36,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2024-03-20,09:40,1000,25.55,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2024-04-30,09:40,1000,24.79,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2024-05-21,09:40,1000,25.92,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2024-06-11,09:40,1000,24.93,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2024-07-03,09:40,1000,27.0,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2024-07-09,09:40,1000,27.24,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2024-07-11,09:40,1000,28.7,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2024-07-18,09:40,1000,24.96,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
