window,kind,rise,pullback,tp,stop,breakout_veto,signals,executed,execution_rate,net_win_rate,avg_net_per_trade,avg_net_per_signal,total_pnl_1000,pf,worst_pnl_1000,max_losing_streak,tp_count,stop_count,ambiguous_bar_count
full,pullback,0.005,0.004,,,0.02,61,32,0.5245901639344263,0.53125,-0.0021493635718116137,-0.0011275349884913384,502.2654847920501,1.2282463202569054,-642.9295030499992,7,0,0,0
full,pullback,0.005,0.004,0.015,,,61,38,0.6229508196721312,0.5526315789473685,-0.0010941430246045865,-0.000681597294015972,455.7545956744749,1.1174782269201102,-1595.6014963229904,5,9,0,0
full,pullback,0.005,0.004,0.015,,0.02,61,32,0.5245901639344263,0.53125,-0.0017661401314712135,-0.000926499741099653,781.820985088253,1.3552857370239253,-642.9295030499992,7,6,0,0
full,pullback,0.005,0.005,,,,61,37,0.6065573770491803,0.5675675675675675,-0.0014757207424687167,-0.0008951093028088938,113.31105787207218,1.0270956329929024,-1915.235071586994,5,0,0,0
full,pullback,0.005,0.005,,,0.02,61,31,0.5081967213114754,0.5483870967741935,-0.0021319908505196983,-0.0010834707601001746,509.5018146920489,1.2333610136557576,-642.9295030499992,7,0,0,0
full,pullback,0.005,0.005,0.015,,,61,37,0.6065573770491803,0.5675675675675675,-0.00120376729465145,-0.0007301539328213713,143.35735031047022,1.0342804861572545,-1915.235071586994,5,9,0,0
full,pullback,0.005,0.005,0.015,,0.02,61,31,0.5081967213114754,0.5483870967741935,-0.0017364053637167053,-0.0008824355127084896,789.0573149882518,1.3614024710970716,-642.9295030499992,7,6,0,0
full,pullback,0.008,0.002,,,,61,31,0.5081967213114754,0.6451612903225806,-0.000717004388950771,-0.0003643792796307197,-137.96743123893452,0.9653632127526524,-2534.525123660989,2,0,0,0
full,pullback,0.008,0.002,,,0.02,61,28,0.45901639344262296,0.6428571428571429,-0.0013672139617371241,-0.000627573621780975,-1232.030573555954,0.6840886075150806,-2534.525123660989,2,0,0,0
full,pullback,0.008,0.002,0.015,,,61,31,0.5081967213114754,0.6451612903225806,-0.0007514708902026804,-0.0003818950425620179,-294.7663822342869,0.9259987637847813,-2534.525123660989,2,7,0,0
full,pullback,0.008,0.002,0.015,,0.02,61,28,0.45901639344262296,0.6428571428571429,-0.0012751440187342403,-0.0005853120085993233,-1152.1768702577497,0.7045643125385386,-2534.525123660989,2,6,0,0
full,pullback,0.008,0.003,,,,61,31,0.5081967213114754,0.6451612903225806,-0.0005154130320408858,-0.0002619312130043846,-58.05320833893552,0.985498417937674,-2534.525123660989,2,0,0,0
full,pullback,0.008,0.003,,,0.02,61,25,0.4098360655737705,0.6,-0.0026838035414260917,-0.0010999194841910212,-1679.894613805954,0.5714438990409272,-2534.525123660989,3,0,0,0
full,pullback,0.008,0.003,0.015,,,61,31,0.5081967213114754,0.6451612903225806,-0.0006009781409928491,-0.00030541512083243153,-269.07980160529166,0.9327843725447225,-2534.525123660989,2,8,0,0
full,pullback,0.008,0.003,0.015,,0.02,61,25,0.4098360655737705,0.6,-0.002619872978412121,-0.0010737184337754595,-1621.701952116002,0.5862893661275648,-2534.525123660989,3,5,0,0
full,pullback,0.008,0.004,,,,61,31,0.5081967213114754,0.6129032258064516,-0.00041376599671468444,-0.00021027452292057732,731.0968432490656,1.2301138183569342,-1595.6014963229904,4,0,0,0
full,pullback,0.008,0.004,,,0.02,61,24,0.39344262295081966,0.5833333333333334,-0.0014411969067129292,-0.0005670282911657426,724.8267442050354,1.483808161415794,-463.2012121499975,5,0,0,0
