entry,exit,window,eligible,excluded,paired_open_mean,paired_open_cash,delta_mean,delta_cash,opening_stops,bar_stops,delayed,saved_losses,spoiled_winners,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5,no_stop_common,stop_vs_no_stop_mean,stop_vs_no_stop_cash
WF_ENTRY,1000_S1,main2022,172,0,-0.02731349621673617,-1124.2614180526548,0.11318818704526513,1948.1179037750007,29,59,0,20,20,172,0.08587469082852893,-1.1373127058908028,34.30232558139535,823.8564857223473,1.104142573110917,1.0247423902623407,-3.874407134905013,-2.965515378621491,-8169.6044845499455,10.0,32.0,5.0,38.0,4577.373514278001,0.33697560611464594,0.029455810178675573,-0.16174680842134426,-0.33598416452839647,-12504.802003578683,88.0,41.0,0.19050407569228348,-0.06153076042135868,172.0,-0.08345331599892487,-5203.047926624019
WF_ENTRY,1000_S1,early2022_2023,135,0,-0.1540914844999183,-3563.3268712497934,0.038431397224866826,-1518.2091157,20,50,0,18,17,135,-0.11566008727505153,-1.1568128871247216,32.592592592592595,-5081.535986949793,0.8632842427084629,0.7496542692689807,-3.874407134905013,-3.0191938402465017,-8169.6044845499455,10.0,23.0,2.0,26.0,3359.5759869500002,0.15106421274425266,-0.18916130644839854,-0.39237021625697577,-0.5546836828532012,-10461.3612549498,70.0,28.0,0.007936276495903354,-0.27489840309445973,135.0,-0.08441720209250579,-2486.216669800025
WF_ENTRY,1000_S1,recent2024,37,0,0.43525483941109044,2439.0654531971395,0.3859494472007727,3466.3270194750003,9,9,0,2,3,37,0.8212042866118631,-0.408616275811131,40.54054054054054,5905.39247267214,2.100071941667612,1.4542855884829191,-3.084037157135793,-2.7776407629339506,-5214.062806262924,7.0,9.0,3.0,12.0,1217.797527328,1.0153009603039187,0.5748695559244251,-0.10691582938104241,-0.820927418699663,-7394.536613732894,18.0,13.0,1.284927620275879,0.27080810014799395,37.0,-0.07993643430612961,-2716.831256823995
WF_ENTRY,1000_S1,2022,41,0,-0.2754934584011606,-1162.441988549964,0.09622126816309035,349.47287615000437,1,11,0,7,5,41,-0.1792721902380702,-0.4177976912771498,36.58536585365854,-812.9691123999597,0.6659193720162121,0.620150639844125,-1.562323861056031,-1.4237242605192837,-1239.5553170499713,7.0,12.0,1.0,18.0,811.6941124000001,0.1288325546247165,-0.23563633079882712,-0.46481544258163143,-0.6791926236932025,-1660.3548723499655,12.0,6.0,-0.010569962083885066,-0.31495854090960385,41.0,-0.011648282648610706,-29.955014999996934
WF_ENTRY,1000_S1,2023,94,0,-0.10113955971320625,-2400.8848826998296,0.013225176922024608,-1867.6819918500041,19,39,0,11,12,94,-0.08791438279118169,-1.2010854344530135,30.851063829787233,-4268.566874549832,0.9103764963832787,0.7649186989363423,-3.874407134905013,-3.3291655453198765,-8169.604484549947,10.0,11.0,1.0,8.0,2547.8818745500002,0.16076099979639077,-0.1935210243475756,-0.4905389698162469,-0.7379202447248724,-9648.392142549841,58.0,22.0,0.09417837914863264,-0.321573102226745,94.0,-0.11615683716909829,-2456.261654800028
WF_ENTRY,1000_S1,2024,17,0,0.4533182498135479,1711.3595472000366,0.6842390658717163,2157.818950800003,3,3,0,1,0,17,1.1375573156852643,0.3800977456945471,58.82352941176471,3869.1784980000393,3.2006627460327626,3.229328689605534,-2.1581693891468636,-2.1581693891468636,-692.0129530499953,2.0,5.0,1.0,7.0,350.161502,1.3423689147832587,0.8188504739607314,-0.2776740922169166,-1.2553669117251065,-558.745830149972,6.0,8.0,2.219628457040931,0.566425430176955,17.0,0.1229927493567296,399.5961019999993
WF_ENTRY,1000_S1,2025,11,0,0.45208766659445027,-880.3299455689469,0.3807547794005574,2297.374442148002,3,3,0,1,1,11,0.8328424459950076,-1.1381321003393188,27.27272727272727,1417.0444965790548,2.0071891627109317,1.269106361830815,-2.4712443687321075,-2.4712443687321075,-2383.6288987709595,3.0,3.0,1.0,3.0,438.78050342100005,1.0222114106858764,-0.05279876854145469,-1.4463936079740785,-2.4712443687321075,-5192.610888284966,6.0,3.0,2.783582742241706,-1.1381321003393188,11.0,-0.08957832159133107,-489.43891212300457
WF_ENTRY,1000_S1,2026,9,0,0.3805616087601201,1608.03585156605,-0.17113746075519126,-988.8663734730053,3,3,0,0,2,9,0.20942414800492878,-1.1364933114422866,22.22222222222222,619.1694780930447,1.1935711838302934,1.1032297743391781,-3.084037157135793,-3.084037157135793,-3480.2562397319884,4.0,1.0,1.0,2.0,428.855521907,0.38905982915388404,-0.5653686041896746,-1.7641920795309693,,-4356.5774784839805,6.0,2.0,2.5195197404026306,,9.0,-0.4514625856540619,-2626.9884467009906
WF_ENTRY,1000_S2,main2022,172,0,-0.02731349621673617,-1124.2614180526548,0.1599083687433199,6062.674490328013,10,37,0,30,19,172,0.13259487252658372,-0.33937421706768844,40.69767441860465,4938.413072275359,1.152976068092253,1.1445653549622743,-3.874407134905013,-2.978108159272784,-7122.69509589995,7.0,32.0,5.0,38.0,4580.756927725,0.383799299460746,0.07644920931356107,-0.1136278188880184,-0.28638002099712845,-8390.245417025671,60.0,47.0,0.23862306522560933,-0.01192661689009066,172.0,-0.036733134300870066,-1088.4913400710088
WF_ENTRY,1000_S2,early2022_2023,135,0,-0.1540914844999183,-3563.3268712497934,0.08161605977291854,-190.3765640999884,7,29,0,24,16,135,-0.07247542472699975,-0.4177976912771498,37.77777777777778,-3753.703435349781,0.9180357213049526,0.8237843010522361,-3.874407134905013,-3.035384558226736,-7122.69509589995,7.0,23.0,2.0,26.0,3361.0784353500003,0.194351720457788,-0.14565437029924225,-0.3475246051493837,-0.5141882316540274,-9133.528703349786,48.0,32.0,0.05278188760349543,-0.22825896754256383,135.0,-0.041232539544454015,-1158.3841182000128
