entry,exit,slip,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
B,1000_S0,0.002,22,-0.678904452491143,-0.8216705303763868,36.36363636363637,-2453.877764559989,0.2897066036308981,0.4552929505968761,-3.1379885063515136,-3.057984887739402,-3548.709534195993,10,17,5,17,571.03776456,-0.15013873520893678,-0.7683708982896298,-1.1726171401342143,-1.6481357824301235,-4249.317364795994,9,3,-0.2020971082104855,-0.7028536889212292
B,1000_S1,0.001,22,-0.5107574912589304,-0.6664956318602625,36.36363636363637,-1302.8667807979512,0.40679679640840827,0.6633139459786853,-4.763462853394223,-3.127609478685957,-2637.6278926159607,10,17,5,17,571.346780798,-0.18095434339709093,-0.601864679532787,-1.0144863447927632,-1.5075079420535593,-3470.592357915968,10,4,-0.04761187098222341,-0.5682504050398588
B,1000_S1,0.002,22,-0.7095379087466657,-0.8649651246492274,36.36363636363637,-2354.0632755959864,0.2807099113462278,0.46560928206013186,-4.953747141413013,-3.3211621642614997,-3448.8950452319905,10,17,5,17,571.023275596,-0.18095434339709093,-0.8004630905573203,-1.2122604364648908,-1.704297118898582,-4149.502875831991,10,3,-0.24731748751306923,-0.766915892933223
B,1000_S2,0.001,22,-0.6687787469873181,-0.6231143701018039,36.36363636363637,-2361.057448879944,0.3437151614658671,0.5208765952157755,-4.763462853394223,-3.552969520930627,-3695.8185606979537,10,17,5,17,570.59744888,-0.33942338145402373,-0.7674107569625266,-1.218984440441265,-1.7972135775556033,-4528.783025997962,9,4,-0.04514658374113642,-0.5647579147816523
B,1000_S2,0.002,22,-0.8672434551555547,-0.8216705303763868,36.36363636363637,-3411.194693759988,0.24201777543712938,0.375498298899246,-4.953747141413013,-3.7456722012479036,-4506.026463395991,10,17,5,17,570.27469376,-0.33942338145402373,-0.9656784248904422,-1.4163499671116884,-1.993423953981545,-5206.634293995992,9,3,-0.24485719493288519,-0.7634304784446287
C,OPEN,0.001,61,0.3729977325396368,-0.3183224382355545,44.26229508196721,2654.321090194221,1.6523722797536424,1.2104298571641647,-3.1809047346237085,-2.412088986615558,-5048.394843341884,5,14,4,16,1719.828909806,0.6843291153880691,0.22464268379823749,-0.09936457241477925,-0.32013101918117787,-5201.712206539808,16,20,0.6066966077588992,0.11093592734025229
C,OPEN,0.002,61,0.17248744878856528,-0.5174872660084407,42.62295081967213,-924.5608296120022,1.252346805322891,0.9372766070374696,-3.3743498669124476,-2.6070705015396634,-7053.714272684003,5,14,4,16,1718.860829612,0.6843291153880691,0.024429362063536637,-0.29892800819633425,-0.5192496145592568,-8363.069509080005,20,19,0.405722588173806,-0.08904388034047171
C,0935_S0,0.001,61,0.601981376333699,0.22823581031567736,52.459016393442624,6507.698525524216,2.050535721694924,1.5156889321404756,-3.431953072853463,-3.007353845744767,-3779.302102559902,4,14,4,16,1722.5914744760003,0.9140191923215064,0.45227853355419695,0.07908843187120304,-0.17318376950644063,-3744.257799859809,15,24,0.9168831519643096,0.37359891643986387
C,0935_S0,0.002,61,0.40101363674634316,0.027979194797326665,50.81967213114754,2924.959371048003,1.598715281787517,1.2013923317682254,-3.6248966090586294,-3.2011459195255814,-5484.536241119999,5,14,4,16,1721.620628952,0.9140191923215064,0.25161044347723666,-0.12083150051422585,-0.3725959227150328,-6907.074015720005,15,23,0.7152894507029748,0.17309437978515704
C,0935_S1,0.001,61,0.5210055434844032,-0.1096497802180049,47.540983606557376,4431.233049544216,1.8359490242237941,1.323806347819841,-3.1809047346237085,-2.412088986615558,-5626.2593065499095,5,14,4,16,1721.136950456,0.8327977764221289,0.3699531034907461,-0.009117386053922918,-0.27003721663991226,-5820.723275839809,22,23,0.767919401823734,0.21003087706982
