scenario,event,increment,start,end
S1_F1_post0935_b5_e0_d0_exdate_reference,50,-47.94640499999878,2023-04-21,2023-05-25
S1_F1_post0935_b5_e0_d0_exdate_reference,51,-360.45669134999844,2023-05-26,2023-06-09
S1_F1_post0935_b5_e0_d0_exdate_reference,52,693.8608090500056,2023-06-12,2023-07-13
S1_F1_post0935_b5_e0_d0_exdate_reference,53,1005.5502359000056,2023-07-14,2023-08-04
S1_F1_post0935_b5_e0_d0_exdate_reference,54,219.69569140000385,2023-08-07,2023-08-22
S1_F1_post0935_b5_e0_d0_exdate_reference,55,-913.5347342999958,2023-08-23,2023-09-06
S1_F1_post0935_b5_e0_d0_exdate_reference,56,461.5218677000048,2023-09-07,2023-09-22
S1_F1_post0935_b5_e0_d0_exdate_reference,57,-439.51997949999713,2023-09-25,2023-10-30
S1_F1_post0935_b5_e0_d0_exdate_reference,58,-202.45742084999438,2023-10-31,2023-11-17
S1_F1_post0935_b5_e0_d0_exdate_reference,59,-74.51877019999665,2023-11-20,2023-11-28
S1_F1_post0935_b5_e0_d0_exdate_reference,6,-73.2335083999933,2020-04-15,2020-05-19
S1_F1_post0935_b5_e0_d0_exdate_reference,60,27.310337800001435,2023-11-29,2023-12-08
S1_F1_post0935_b5_e0_d0_exdate_reference,61,26.33769780000148,2023-12-11,2023-12-19
S1_F1_post0935_b5_e0_d0_exdate_reference,62,-52.1225626000014,2023-12-20,2024-01-11
S1_F1_post0935_b5_e0_d0_exdate_reference,63,-164.19935269998678,2024-01-12,2024-02-19
S1_F1_post0935_b5_e0_d0_exdate_reference,64,682.2670260999985,2024-02-20,2024-02-27
S1_F1_post0935_b5_e0_d0_exdate_reference,65,528.8628957999972,2024-02-28,2024-03-18
S1_F1_post0935_b5_e0_d0_exdate_reference,66,-88.78922269999748,2024-03-19,2024-04-26
S1_F1_post0935_b5_e0_d0_exdate_reference,67,-317.40197134999835,2024-04-29,2024-05-17
S1_F1_post0935_b5_e0_d0_exdate_reference,68,250.30515650000234,2024-05-20,2024-06-06
S1_F1_post0935_b5_e0_d0_exdate_reference,69,-447.48346949999905,2024-06-07,2024-07-01
S1_F1_post0935_b5_e0_d0_exdate_reference,7,-354.1725973999928,2020-05-20,2020-06-16
