date,clock,missing,reference,cash_before,tax_reserve,receivable,full_cost,cash_gap,scenario
2023-07-25,09:25,100,24.05,780.236187430236,0.0,0.0,2412.4290740499996,1632.1928866197636,S0_open_b10_e0_d0_main
2023-07-26,09:25,100,23.5,780.236187430236,0.0,0.0,2357.3735235,1577.137336069764,S0_open_b10_e0_d0_main
2023-07-27,09:25,100,23.13,780.236187430236,0.0,0.0,2320.3361531299997,1540.0999656997637,S0_open_b10_e0_d0_main
2023-07-28,09:25,100,22.3,780.236187430236,49.50000000000001,495.00000000000006,2237.2523222999994,1506.5161348697634,S0_open_b10_e0_d0_main
2023-07-31,09:25,100,22.25,1275.236187430236,49.50000000000001,0.0,2232.2472722499997,1006.5110848197637,S0_open_b10_e0_d0_main
2023-08-01,09:25,100,22.2,1275.236187430236,49.50000000000001,0.0,2227.2422222,1001.506034769764,S0_open_b10_e0_d0_main
2023-08-02,09:25,100,22.25,1275.236187430236,49.50000000000001,0.0,2232.2472722499997,1006.5110848197637,S0_open_b10_e0_d0_main
2023-08-03,09:25,100,21.86,1275.236187430236,49.50000000000001,0.0,2193.20788186,967.4716944297638,S0_open_b10_e0_d0_main
2023-08-04,09:25,100,22.1,1275.236187430236,49.50000000000001,0.0,2217.2321220999997,991.4959346697638,S0_open_b10_e0_d0_main
2023-08-07,09:25,100,23.7,1275.236187430236,49.50000000000001,0.0,2377.3937237,1151.657536269764,S0_open_b10_e0_d0_main
2023-08-08,09:25,100,24.6,1275.236187430236,49.50000000000001,0.0,2467.4846245999997,1241.7484371697637,S0_open_b10_e0_d0_main
2023-08-09,09:25,100,23.3,1275.236187430236,49.50000000000001,0.0,2337.3533233,1111.6171358697638,S0_open_b10_e0_d0_main
2023-08-10,09:25,100,21.99,1275.236187430236,49.50000000000001,0.0,2206.2210119899996,980.4848245597636,S0_open_b10_e0_d0_main
2023-08-11,09:25,100,21.72,1275.236187430236,49.50000000000001,0.0,2179.1937417199997,953.4575542897637,S0_open_b10_e0_d0_main
2023-08-14,09:25,100,21.09,1275.236187430236,49.50000000000001,0.0,2116.13011109,890.3939236597639,S0_open_b10_e0_d0_main
2023-08-15,09:25,100,22.04,1275.236187430236,49.50000000000001,0.0,2211.2260620399998,985.4898746097638,S0_open_b10_e0_d0_main
2023-08-16,09:25,100,21.0,1275.236187430236,49.50000000000001,0.0,2107.121021,881.3848335697639,S0_open_b10_e0_d0_main
2023-08-17,09:25,100,20.33,1275.236187430236,49.50000000000001,0.0,2040.0533503299994,814.3171628997634,S0_open_b10_e0_d0_main
2023-08-18,09:25,100,20.89,1275.236187430236,49.50000000000001,0.0,2096.10991089,870.3737234597638,S0_open_b10_e0_d0_main
2023-08-21,09:25,100,20.15,1275.236187430236,49.50000000000001,0.0,2022.0351701499997,796.2989827197637,S0_open_b10_e0_d0_main
2023-08-22,09:25,100,21.2,1275.236187430236,49.50000000000001,0.0,2127.1412212,901.405033769764,S0_open_b10_e0_d0_main
2023-08-23,09:25,100,22.17,1275.236187430236,49.50000000000001,0.0,2224.2391921699996,998.5030047397636,S0_open_b10_e0_d0_main
2023-08-24,09:25,100,22.5,1275.236187430236,49.50000000000001,0.0,2257.2725224999995,1031.5363350697635,S0_open_b10_e0_d0_main
2023-08-25,09:25,100,21.2,1275.236187430236,49.50000000000001,0.0,2127.1412212,901.405033769764,S0_open_b10_e0_d0_main
2023-08-28,09:25,100,21.43,1275.236187430236,49.50000000000001,0.0,2150.1644514299996,924.4282639997637,S0_open_b10_e0_d0_main
2023-08-29,09:25,100,20.55,1275.236187430236,49.50000000000001,0.0,2062.0755705499996,836.3393831197636,S0_open_b10_e0_d0_main
2023-08-30,09:25,100,21.89,1275.236187430236,49.50000000000001,0.0,2196.21091189,970.4747244597638,S0_open_b10_e0_d0_main
2023-08-31,09:25,100,21.56,1275.236187430236,49.50000000000001,0.0,2163.17758156,937.4413941297639,S0_open_b10_e0_d0_main
2023-09-01,09:25,100,21.79,1275.236187430236,49.50000000000001,0.0,2186.2008117899995,960.4646243597635,S0_open_b10_e0_d0_main
2023-09-04,09:25,100,21.4,1275.236187430236,49.50000000000001,0.0,2147.1614213999997,921.4252339697637,S0_open_b10_e0_d0_main
2023-09-05,09:25,100,20.77,1275.236187430236,49.50000000000001,0.0,2084.09779077,858.3616033397639,S0_open_b10_e0_d0_main
2023-09-06,09:25,100,20.08,1275.236187430236,49.50000000000001,0.0,2015.0281000799996,789.2919126497636,S0_open_b10_e0_d0_main
2023-09-07,09:25,100,19.98,1275.236187430236,49.50000000000001,0.0,2005.0179999799998,779.2818125497638,S0_open_b10_e0_d0_main
2023-09-08,09:25,100,19.01,1275.236187430236,49.50000000000001,0.0,1907.92002901,682.183841579764,S0_open_b10_e0_d0_main
