scenario,year,increment,fees,tax,deficit_days,sales
S1_F1_post0935_b5_e0_d3_main,2024,3500.7561712500683,802.8888287500001,116.0,0,37
S1_F1_post0935_b5_e0_d3_main,2025,8345.854266603164,1464.7057333970001,128.0,0,46
S1_F1_post0935_b5_e0_d3_main,2026,-466.719582282778,1758.0545822830002,196.0,0,35
S1_F1_post0935_b10_e0_d0_main,2020,329.6381312001067,1309.0418688,0.0,0,51
S1_F1_post0935_b10_e0_d0_main,2021,-2976.812406999932,1076.3024070000001,50.0,0,46
S1_F1_post0935_b10_e0_d0_main,2022,-2219.2295970999676,843.5595971,100.0,0,42
S1_F1_post0935_b10_e0_d0_main,2023,-668.9651287999422,714.8851288000001,110.0,0,29
S1_F1_post0935_b10_e0_d0_main,2024,2670.6094425000992,802.6805575000001,116.0,0,37
S1_F1_post0935_b10_e0_d0_main,2025,6644.841843206144,1464.278156794,128.0,0,46
S1_F1_post0935_b10_e0_d0_main,2026,-2688.8281825657905,1757.4981825660002,196.0,0,35
S1_F1_post0935_b10_e0_d1_main,2020,329.6381312001067,1309.0418688,0.0,0,51
S1_F1_post0935_b10_e0_d1_main,2021,-2976.812406999932,1076.3024070000001,50.0,0,46
S1_F1_post0935_b10_e0_d1_main,2022,-2219.2295970999676,843.5595971,100.0,0,42
S1_F1_post0935_b10_e0_d1_main,2023,-668.9651287999422,714.8851288000001,110.0,0,29
S1_F1_post0935_b10_e0_d1_main,2024,2670.6094425000992,802.6805575000001,116.0,0,37
S1_F1_post0935_b10_e0_d1_main,2025,6644.841843206144,1464.278156794,128.0,0,46
S1_F1_post0935_b10_e0_d1_main,2026,-2688.8281825657905,1757.4981825660002,196.0,0,35
S1_F1_post0935_b10_e0_d3_main,2020,329.6381312001067,1309.0418688,0.0,0,51
S1_F1_post0935_b10_e0_d3_main,2021,-2976.812406999932,1076.3024070000001,50.0,0,46
S1_F1_post0935_b10_e0_d3_main,2022,-2219.2295970999676,843.5595971,100.0,0,42
S1_F1_post0935_b10_e0_d3_main,2023,-668.9651287999422,714.8851288000001,110.0,0,29
S1_F1_post0935_b10_e0_d3_main,2024,2670.6094425000992,802.6805575000001,116.0,0,37
S1_F1_post0935_b10_e0_d3_main,2025,6644.841843206144,1464.278156794,128.0,0,46
S1_F1_post0935_b10_e0_d3_main,2026,-2688.8281825657905,1757.4981825660002,196.0,0,35
S0_open_b5_e0_d0_main,2020,-4652.618715599803,3087.0787156000006,0.0,0,121
S0_open_b5_e0_d0_main,2021,-1402.701460149894,1691.91396015,45.0,104,70
S0_open_b5_e0_d0_main,2022,-549.9197858749685,497.78828587500004,45.0,192,25
S0_open_b5_e0_d0_main,2023,-649.0,0.0,0.0,242,0
S0_open_b5_e0_d0_main,2024,-778.4683899800002,21.59038998,0.0,240,1
S0_open_b5_e0_d0_main,2025,-5659.979974974991,23.502474975,0.0,240,1
S0_open_b5_e0_d0_main,2026,-242.400000000016,0.0,0.0,169,0
S0_open_b5_e0_d1_main,2020,-4652.618715599803,3087.0787156000006,0.0,0,121
S0_open_b5_e0_d1_main,2021,-1406.1588160198771,1968.0178160200003,45.0,80,82
S0_open_b5_e0_d1_main,2022,-444.42057047997514,479.47857048,45.0,194,24
